,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,beauty-bonanza-clearance-sale,Natures Response Energising Blend  Essential Oil,,nan,৳ 515.00,,10ml
1,beauty-bonanza-clearance-sale,Flormar Stylematic Lipliner Coconude SL11,,nan,৳ 700.00,,0.35gm
2,beauty-bonanza-clearance-sale,HB Factory Red Ginseng Cleansing Foam,,nan,৳ 850.00,App Price: ৳ 825.00,80ml
3,beauty-bonanza-clearance-sale,Listerine Reach Toothbrush Access Firm Toothbrush,SALE,৳ 250.00,৳ 190.00,App Price: ৳ 184.00,
4,beauty-bonanza-clearance-sale,Clinique 7 Day Scrub Cream Rinse-Off Formula,SALE,"৳ 4,000.00","৳ 3,000.00",,100ml
5,beauty-bonanza-clearance-sale,Wazih Organic Marigold Flower Powder,SALE,৳ 250.00,৳ 200.00,App Price: ৳ 194.00,80gm
6,beauty-bonanza-clearance-sale,Grace Day Aqua Forest Mist,SALE,"৳ 1,250.00","৳ 1,150.00",App Price: ৳ 1116.00,100ml
7,beauty-bonanza-clearance-sale,Irish Spring 5 in 1 Hair Body Wash and Shampoo,SALE,"৳ 1,450.00","৳ 1,250.00",App Price: ৳ 1213.00,532ml
8,beauty-bonanza-clearance-sale,W7 Glamorous Artificial Nails Red Carpet,SALE,৳ 475.00,৳ 425.00,App Price: ৳ 412.00,2gm
9,beauty-bonanza-clearance-sale,Issey Miyake Nuit D’issey Parfum For Men,SALE,"৳ 8,500.00","৳ 7,500.00",App Price: ৳ 7275.00,125ml
10,beauty-bonanza-clearance-sale,Eucerin Dermo Purifyer Oil Control Scrub,SALE,"৳ 1,850.00","৳ 1,750.00",App Price: ৳ 1698.00,100ml
11,beauty-bonanza-clearance-sale,Enchanteur Satin Smooth Enticing Lotion with Aloe Vera & Olive Butter,SALE,৳ 750.00,৳ 595.00,App Price: ৳ 577.00,250ml
12,beauty-bonanza-clearance-sale,Clinique Happy Perfume Spray for Women,SALE,"৳ 6,200.00","৳ 4,449.00",App Price: ৳ 4316.00,100ml
13,beauty-bonanza-clearance-sale,Alpecin Medicinal Shampoo Concentrate for oily hair,SALE,"৳ 1,850.00","৳ 1,550.00",App Price: ৳ 1504.00,200ml
14,beauty-bonanza-clearance-sale,Vatika Hair Fall Control Shampoo with Cactus & Gergir,SALE,৳ 950.00,৳ 750.00,App Price: ৳ 728.00,400ml
15,beauty-bonanza-clearance-sale,Alpecin Medicinal Shampoo Concentrate for dandruff,SALE,"৳ 1,850.00","৳ 1,550.00",App Price: ৳ 1504.00,200ml
16,beauty-bonanza-clearance-sale,La Roche-Posay Hydraphase UV Intense Moisturiser Rich,SALE,"৳ 2,950.00","৳ 2,350.00",App Price: ৳ 2280.00,50ml
17,beauty-bonanza-clearance-sale,Clinique for Men Face Wash Oily Skin Formula,SALE,"৳ 8,500.00","৳ 6,099.00",,200ml
18,beauty-bonanza-clearance-sale,Technic Pro Pigment Loose Eye Shadow Powder - Blue'd Up,SALE,৳ 395.00,৳ 325.00,App Price: ৳ 315.00,2gm
19,beauty-bonanza-clearance-sale,Technic Pro Pigment Loose Eye Shadow Powder - Shoop Shoop Pink,SALE,৳ 395.00,৳ 325.00,App Price: ৳ 315.00,2gm
20,beauty-bonanza-clearance-sale,Technic Pro Pigment Loose Eye Shadow Powder - Merry Mermaid,SALE,৳ 395.00,৳ 325.00,App Price: ৳ 315.00,2gm
21,beauty-bonanza-clearance-sale,The Body Shop White Musk Flora Scented Body Lotion,SALE,"৳ 2,700.00","৳ 1,890.00",App Price: ৳ 1833.00,250ml
22,beauty-bonanza-clearance-sale,Beverly Hills Polo Club No 2 Women Eau De Parfum,SALE,"৳ 1,600.00","৳ 1,440.00",App Price: ৳ 1397.00,50ml
23,beauty-bonanza-clearance-sale,WAHL 11 Piece Rechargeable Multigroomer Kit,SALE,"৳ 2,650.00","৳ 2,350.00",App Price: ৳ 2280.00,
24,beauty-bonanza-clearance-sale,Grace Day Papain Plex Ampoule,SALE,"৳ 1,250.00","৳ 1,150.00",App Price: ৳ 1116.00,50ml
25,beauty-bonanza-clearance-sale,NEOGEN - Dermalogy Real Vita C Powder Lemon,SALE,"৳ 1,950.00","৳ 1,800.00",App Price: ৳ 1746.00,20gm
26,beauty-bonanza-clearance-sale,Chanel Bleu De Chanel Eau De Toilette (EDT),SALE,"৳ 22,000.00","৳ 21,340.00",,150ml
27,beauty-bonanza-clearance-sale,Alpecin Sport Caffeine Shampoo CTX,SALE,"৳ 1,850.00","৳ 1,550.00",App Price: ৳ 1504.00,250ml
28,beauty-bonanza-clearance-sale,Hugo Boss Boss Orange Pour Femme Eau de Toilette,SALE,"৳ 5,500.00","৳ 4,500.00",App Price: ৳ 4365.00,75ml
