,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,clothing-&-more,Turag Active Vitality Cropped Leggings - Black,,nan,"৳ 1,504.00",App Price: ৳ 1459.00,4 Variations
1,clothing-&-more,Turaag Active Vitality Leggings - Mauvewood Red,,nan,"৳ 1,504.00",App Price: ৳ 1697.00,4 Variations
2,clothing-&-more,Turaag Active Vitality Leggings - Pulm Purple,,nan,"৳ 1,504.00",App Price: ৳ 1697.00,4 Variations
3,clothing-&-more,Turaag Active Vitality Leggings - Midnight Blue,,nan,"৳ 1,504.00",App Price: ৳ 1697.00,4 Variations
4,clothing-&-more,Turaag Active Flex 360 Leggings - Pink,,nan,"৳ 1,504.00",App Price: ৳ 2327.00,4 Variations
5,clothing-&-more,Armela Beyond The Mat Yoga Legging-Pastel Blue,,nan,"৳ 1,504.00", ,5 Variations
6,clothing-&-more,Turaag Active Optimum Play Leggings - Black Mix,,nan,"৳ 1,504.00",App Price: ৳ 1794.00,4 Variations
7,clothing-&-more,Turaag Active Vitality Leggings - Black,,nan,"৳ 1,504.00",App Price: ৳ 1697.00,4 Variations
8,clothing-&-more,Armela Beyond The Mat Yoga Legging- Whale Blue,,nan,"৳ 1,504.00", ,4 Variations
9,clothing-&-more,Turaag Active Vitality Leggings - Fizzy Melon,,nan,"৳ 1,504.00",App Price: ৳ 1697.00,4 Variations
10,clothing-&-more,Armela Beyond The Mat Yoga Legging-Vintage Pink,,nan,"৳ 1,504.00", ,5 Variations
11,clothing-&-more,Turaag Active Flex 360 Leggings - Dark Grey,,nan,"৳ 1,504.00",App Price: ৳ 2327.00,4 Variations
12,clothing-&-more,Turag Active Flex 360 Seamless Shorts - Pink,,nan,"৳ 1,504.00",App Price: ৳ 1250.00,4 Variations
13,clothing-&-more,Turaag Active Flex 360 Seamless Shorts,,nan,"৳ 1,504.00",App Price: ৳ 1250.00,4 Variations
14,clothing-&-more,Turaag Active Optimum Roar Leggings - Midnight Blue Mix,,nan,"৳ 1,504.00",App Price: ৳ 1794.00,4 Variations
15,clothing-&-more,Armela Beyond The Mat Yoga Legging-Rock Gray,,nan,"৳ 1,504.00", ,4 Variations
16,clothing-&-more,Turaag Active Flex 360 Leggings - Lavender,,nan,"৳ 1,504.00",App Price: ৳ 2327.00,4 Variations
17,clothing-&-more,Turaag Active Flex 360 Leggings - Coral Blue,,nan,"৳ 1,504.00",App Price: ৳ 2327.00,4 Variations
18,clothing-&-more,Turaag Active Flex 360 Leggings - Navy,,nan,"৳ 1,504.00",App Price: ৳ 2327.00,4 Variations
19,clothing-&-more,Turag Active Vitality Cropped Leggings - Dark Night,SOLD OUT,nan,"৳ 1,504.00",App Price: ৳ 1459.00,4 Variations
20,clothing-&-more,Turag Active Flex 360 Seamless Shorts - Coral Blue,SOLD OUT,nan,"৳ 1,504.00",App Price: ৳ 1250.00,4 Variations
