,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,combo,Valene Moon n Back Wireless T-Shirt Bra Combo,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
1,combo,Wazih mesta solution combo,COMBO,"৳ 1,750.00","৳ 1,399.00", ,210gm
2,combo,Kesh King Hair Fall Defense Combo,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
3,combo,Parachute Anti Hairfall Oil Extra Care 150ml & Parachute Naturale Shampoo Advanced Hair Fall Control 175ml Combo,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
4,combo,ANTI HAIR-FALL BUNDLE - Parachute Anti Hairfall Oil Extra Care 300ml (Root Applier) & Parachute Naturale Shampoo Hijab Fresh 340ml,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
5,combo,Parachute Hair Oil Anti Hairfall Oil Extra Care 300ml (Root Applier) Pack of 2 (300ml X 2),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
6,combo,Couple Combo (Face Wash) - Studio X Brightening Facewash for Men 100ml & Parachute SkinPure Goat Milk Brightening Facewash (Glow) 100gm,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
7,combo,Couple Combo (Face Wash) - Studio X Oil Clear Facewash for Men 100ml & Parachute SkinPure Aloe Vera Brightening Facewash (Oil Control) 100gm,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
8,combo,Fogg Scent Czar 30ml (2 pieces Combo),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
9,combo,Fogg Scent Tycoon 30ml (2 pieces Combo),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
10,combo,Mediker Safelife Combo Pack 370ml (Pump + Refill),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
11,combo,Mediker SafeLife Hand Wash Refill Combo Pack (170ml X 2pcs),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
12,combo,Studio X Clean & Fresh Soap For Men Combo Pack (125gm x 3),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
13,combo,Couple Combo (Shampoo) - Studio X Clean & Strong Shampoo for Men 175ml & Parachute Naturale Shampoo Anti Hair Fall 170ml,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
14,combo,Nihar Anti Hairfall 5 Seeds Hair Oil 200ml & Parachute Naturale Shampoo Anti Hair Fall 340ml Combo,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
15,combo,Fogg Body spray Women (Paradise) 120ml COMBO Offer,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
16,combo,Dettol Handwash Re-Energize Ph Balanced Liquid Soap Pump 200ml + 170ml Refil Combo Protects From 100 Illness Causing Germs,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
17,combo,Dettol Soap Original (75g X 3) Germ Defence- Protects From 99.99% Germs,COMBO,"৳ 1,750.00","৳ 1,399.00", ,
18,combo,Mediker SafeLife Hand Wash Pump Combo Pack (200ml X 2pcs),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
19,combo,Fogg Scent Prince 30ml (2 pieces Combo),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
20,combo,Fogg Scent Sultan 30ml (2 pieces Combo),COMBO,"৳ 1,750.00","৳ 1,399.00", ,
