,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,eyes,Nirvana Color Eye Shadow Palette – You Go Girl,FREE DELIVERY,৳ 650.00,৳ 325.00, ,15gm
1,eyes,Technic Mega Lash Water Resistant Mascara,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 290.00,12ml
2,eyes,Professional Personal Cotton Pads 100pcs,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 207.00,
3,eyes,W7 Liquid Eyeliner Pot,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 237.00,8gm
4,eyes,Maybelline Colossal Kohl Kajal 24H Black,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 340.00,0.35gm
5,eyes,Miss & Mrs Ultrafine Dipliner Eye Liner,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 387.00,4.5ml
6,eyes,Bronx Colors Seductive Black Mascara - MC408,SALE,৳ 650.00,৳ 325.00, ,10ml
7,eyes,Skin Cafe Micellar Water,FREE DELIVERY**,৳ 650.00,৳ 325.00,App Price: ৳ 293.00,120ml
8,eyes,Lakme Insta-Liner Water Resistant Eyeliner,SALE,৳ 650.00,৳ 325.00, ,9ml
9,eyes,Garnier Skin Naturals Micellar Cleansing Water with Salicylic BHA,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 529.00,125ml
10,eyes,Technic Intoxicate Mascara,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 394.00,8ml
11,eyes,Technic Luxe Cashmere Lashes - Ruby,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 330.00,
12,eyes,Technic Luxe Cashmere Lashes - Amelie,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 340.00,
13,eyes,Technic Faux Silk Lashes - Tango,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 340.00,
14,eyes,Technic Faux Silk Lashes - Bolero,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 286.00,
15,eyes,Nirvana Color Liquid Matte Eyeliner Deep Black,FREE DELIVERY**,৳ 650.00,৳ 325.00,App Price: ৳ 303.00,3ml
16,eyes,AOA Gel Eyeliner- Dark Brown,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 393.00,1.58gm
17,eyes,Technic Pro Pigment Loose Eye Shadow Powder - Blue'd Up,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 315.00,2gm
18,eyes,Miss & Mrs Nina 5 Colors Eyeshadow Glow Looks - 01,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 398.00,12.5gm
19,eyes,Technic Faux Mink 3D Lashes - Milan,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 340.00,1ml
20,eyes,Boots cucumber cleansing lotion Sweep the night away 150ml,SALE,৳ 650.00,৳ 325.00,App Price: ৳ 480.00,150ml
