,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,face,Garnier Skin Active Micellar Cleansing Water,SALE,৳ 550.00,৳ 449.00,,100ml
1,face,Ponds perfect radiance bb translucent powder,SALE,৳ 350.00,৳ 300.00,,50gm
2,face,Groome Personal Care Cotton Pad - 80pcs,FREE DELIVERY,৳ 245.00,৳ 213.00,App Price: ৳ 207.00,
3,face,Rajkonna All Purpose Toner,FREE DELIVERY**,৳ 240.00,৳ 214.00,App Price: ৳ 203.00,120ml
4,face,Professional Personal Cotton Pads 100pcs,SALE,৳ 250.00,৳ 218.00,App Price: ৳ 211.00,
5,face,w7 Banana Dreams Loose Powder,SALE,৳ 650.00,৳ 449.00,,20gm
6,face,Skin Cafe Floral Hydrating Toner,FREE DELIVERY**,৳ 295.00,৳ 259.60,App Price: ৳ 252.00,110ml
7,face,Skin Cafe Makeup Cleansing Oil Advanced,FREE DELIVERY**,৳ 550.00,৳ 484.00,App Price: ৳ 469.00,120ml
8,face,Nirvana Color Mattifying and Poreless Pressed Powder (Light Beige),SALE,৳ 580.00,৳ 517.00,App Price: ৳ 501.00,15gm
9,face,Lucy Oliva Olive Oil,SALE,৳ 250.00,৳ 220.00,,100ml
10,face,Lucy Oliva Olive Oil,SALE,৳ 380.00,৳ 330.00,,150ml
11,face,Nirvana Color Mattifying and Poreless Pressed Powder (Light Natural),SALE,৳ 580.00,৳ 517.00,App Price: ৳ 501.00,15gm
12,face,Skin Cafe Micellar Water,FREE DELIVERY**,৳ 350.00,৳ 308.00,App Price: ৳ 299.00,120ml
13,face,Nirvana Color Smart Coverage Bb Cream With Spf 15 - Light,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,30ml
14,face,Ponds Face Powder Angle Face Pinkish White Glow,SALE,৳ 350.00,৳ 340.00,,50gm
15,face,W7 The Matte Fixer Setting Spray,SALE,৳ 620.00,৳ 545.00,App Price: ৳ 529.00,60ml
16,face,White Tone Face Powder,SALE,৳ 160.00,৳ 129.00,,30gm
17,face,Miss & Mrs Nina 5 Colors Cheek Glow Looks - 02,SALE,৳ 470.00,৳ 410.00,App Price: ৳ 398.00,12.5gm
18,face,W7 HD Concealer - Light warm LW5,SALE,৳ 450.00,৳ 375.00,App Price: ৳ 364.00,14ml
19,face,W7 HD Concealer - Fair Neutral FN2,SALE,৳ 450.00,৳ 405.00,App Price: ৳ 393.00,14ml
20,face,W7 HD Concealer  - Fair Cool FC1,SALE,৳ 450.00,৳ 375.00,App Price: ৳ 364.00,14ml
21,face,Focallure Matchmax Baking & Setting Loose Powder 04 Warm Beige (Fa154),SALE,৳ 650.00,৳ 585.00,App Price: ৳ 556.00,15gm
22,face,Focallure Makeup Setting Spray (Fa96),SALE,৳ 900.00,৳ 800.00,,100ml
23,face,Focallure Flawless Longwear Foundation 202 Natural Beige (Fa256),SALE,৳ 700.00,৳ 625.00,App Price: ৳ 606.00,20gm
24,face,Focallure Flawless Long Lasting Setting spray (Fa352),SALE,৳ 720.00,৳ 650.00,App Price: ৳ 631.00,65ml
25,face,Focallure Face Highlighter & Contour 01 Sliver (Fa01),SALE,৳ 350.00,৳ 315.00,App Price: ৳ 306.00,6gm
26,face,Absolute New York HD Flawless Fluid Foundation Tan AHDF04,SALE,"৳ 1,250.00","৳ 1,025.00",App Price: ৳ 994.00,28ml
27,face,Absolute New York HD Powder Foundation–Pearl–HDPF02,SALE,"৳ 1,250.00","৳ 1,025.00",App Price: ৳ 994.00,8gm
28,face,Absolute New York HD Flawless Foundation Sand AHDF02,SALE,"৳ 1,250.00","৳ 1,025.00",App Price: ৳ 994.00,28ml
29,face,Garnier Micellar Water with Vitamin C,SALE,৳ 650.00,৳ 545.00,App Price: ৳ 529.00,125ml
30,face,LMLTOP Cotton Pads,SALE,৳ 375.00,৳ 325.00,App Price: ৳ 315.00,
