,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,fragrance,Fogg Body Spray Blue (Forest),SALE,৳ 490.00,৳ 372.00, ,120ml
1,fragrance,Fogg Body Spray Blue (Spring),SALE,৳ 490.00,৳ 372.00, ,120ml
2,fragrance,Fogg Body Spray Women (Radiate),SALE,৳ 490.00,৳ 372.00, ,120ml
3,fragrance,Fogg Scent Tuxedo,SALE,৳ 490.00,৳ 372.00, ,50ml
4,fragrance,Fogg Scent Explore,SALE,৳ 490.00,৳ 372.00, ,50ml
5,fragrance,Fogg Body Spray Women (Paradise),SALE,৳ 490.00,৳ 372.00, ,120ml
6,fragrance,Enchanteur Perfumed Deo Roll-on Romantic,SALE,৳ 490.00,৳ 372.00,App Price: ৳ 214.00,50ml
7,fragrance,Ossum Fragrance Body Mist Blueberry,SALE,৳ 490.00,৳ 372.00, ,120ml
8,fragrance,Al Haramain Mystique Homme Spray,SALE,৳ 490.00,৳ 372.00, ,100ml
9,fragrance,Musk Al Haramain Attar,SALE,৳ 490.00,৳ 372.00, ,12ml
10,fragrance,Nirvana Color Eau De Parfum For Women Prohelika (প্রহেলিকা),FREE DELIVERY**,৳ 490.00,৳ 372.00,App Price: ৳ 389.00,25ml
11,fragrance,Nirvana Color Eau De Parfum For Women Shishir (শিশির),FREE DELIVERY**,৳ 490.00,৳ 372.00,App Price: ৳ 389.00,25ml
12,fragrance,Nirvana Color Eau De Parfum For Women Suranjana (সুরঞ্জনা),FREE DELIVERY**,৳ 490.00,৳ 372.00,App Price: ৳ 389.00,25ml
13,fragrance,Dove Original Dry Deodorant Antiperspirant Stick Solid,SALE,৳ 490.00,৳ 372.00,App Price: ৳ 567.00,40gm
14,fragrance,Beverly Hills Polo Club No 2 Women Eau De Parfum,SALE,৳ 490.00,৳ 372.00,App Price: ৳ 1397.00,50ml
15,fragrance,Boots Essential Cool Blue Body Spray,SALE,৳ 490.00,৳ 372.00,App Price: ৳ 480.00,150ml
16,fragrance,Fa Pink Passion Roll On,SALE,৳ 490.00,৳ 372.00, ,50ml
17,fragrance,Fa Caribbean Lemon Roll On,SALE,৳ 490.00,৳ 372.00, ,50ml
18,fragrance,Ossum Fragrance Body Mist Frenzy,SALE,৳ 490.00,৳ 372.00, ,120ml
19,fragrance,Chanel Bleu De Chanel Eau De Toilette (EDT),SALE,৳ 490.00,৳ 372.00, ,150ml
20,fragrance,Hugo Boss Boss Orange Pour Femme Eau de Toilette,SALE,৳ 490.00,৳ 372.00,App Price: ৳ 4365.00,75ml
