,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,hair,Skin Cafe Hair Care BOGO Offer 1 ( Skin Cafe Banana Shampoo with Egg Protein + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY**,৳ 240.00,৳ 425.00, ,
1,hair,Streax Insta Shampoo Hair Color Natural Black,,৳ 240.00,৳ 425.00, ,15ml
2,hair,RAJKONNA HAIR REPAIR Mask,FREE DELIVERY**,৳ 240.00,৳ 425.00,App Price: ৳ 208.00,70gm
3,hair,Kolombo Coconut Oil,SALE,৳ 240.00,৳ 425.00, ,100ml
4,hair,Kumarika Split Hair Oil,SALE,৳ 240.00,৳ 425.00, ,200ml
5,hair,Kumarika Dandruff control Hair Oil,SALE,৳ 240.00,৳ 425.00, ,200ml
6,hair,Maya True Herbs 100% Cold-Pressed Virgin & Organic Marula Oil from Africa,SALE,৳ 240.00,৳ 425.00, ,30ml
7,hair,Kumarika Hair Fall Control Hair Oil 200ml,SALE,৳ 240.00,৳ 425.00, ,200ml
8,hair,Skin Cafe Anti Dandruff Treatment,FREE DELIVERY**,৳ 240.00,৳ 425.00,App Price: ৳ 239.00,80gm
9,hair,Kolombo Coconut Oil,SALE,৳ 240.00,৳ 425.00, ,200ml
10,hair,Dabur Amla Hair Oil,,৳ 240.00,৳ 425.00, ,300ml
11,hair,Dabur Amla Hair Oil,,৳ 240.00,৳ 425.00, ,200ml
12,hair,Dabur Vatika Enriched Coconut Hair Oil 150 ml,,৳ 240.00,৳ 425.00, ,150ml
13,hair,Dabur Vatika Enriched Coconut Hair Oil 75 ml,,৳ 240.00,৳ 425.00, ,75ml
14,hair,Dabur Vatika Enriched Coconut Hair Oil 300 ml,,৳ 240.00,৳ 425.00, ,300ml
15,hair,Dabur Amla Hair Oil (Get 50 ml Extra),,৳ 240.00,৳ 425.00, ,400ml
16,hair,Dabur Amla Hair Oil,,৳ 240.00,৳ 425.00, ,100ml
17,hair,Dabur Amla Hair Oil,,৳ 240.00,৳ 425.00, ,40ml
18,hair,Maya All Natural Hair & Scalp Oil,SALE,৳ 240.00,৳ 425.00, ,100ml
19,hair,Buy 1 Dabur Gold Beliphool Non-Sticky Coconut Hair Oil & Get 1 Lux Soap 75 gm,BUY 1 GET 1,৳ 240.00,৳ 425.00, ,
20,hair,Tresemme Shampoo Keratin Smooth,,৳ 240.00,৳ 425.00, ,580ml
