,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,lips,Nirvana Color Liquid Matte Lipstick - Sweet Sin L06,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
1,lips,Nirvana Color Liquid Matte Lipstick - Timeless L02,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 381.00,5ml
2,lips,Nirvana Color Liquid Matte Lipstick - Sweet Raisin L05,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
3,lips,Nirvana Color Liquid Matte Lipstick - Infatuated L03,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
4,lips,Nirvana Color Liquid Matte Lipstick - Love Me L04,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
5,lips,Flormar Stylematic Lipliner Coconude SL11,,৳ 450.00,৳ 401.00, ,0.35gm
6,lips,wet n wild MegaLast Liquid Catsuit Matte Lipstick - Give Me Mocha,SALE,৳ 450.00,৳ 401.00, ,6gm
7,lips,Vaseline Lip Therapy - Cocoa Butter,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 189.00,20gm
8,lips,Nivea Caring Lip Balm Soft Rose,SALE,৳ 450.00,৳ 401.00, ,4.8gm
9,lips,Vaseline Lip Therapy - Aloe Vera,SALE,৳ 450.00,৳ 401.00, ,20gm
10,lips,Groome Glow Lip Balm With SPF 15 - Sweet Sunrise,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 181.00,30gm
11,lips,Lilac Premium Lip Balm - Aloevera with SPF15,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 173.00,30gm
12,lips,Shajgoj Luxury Makeup Bag,SALE,৳ 450.00,৳ 401.00, ,
13,lips,Maybelline Baby Lips Color SPF11 Lip Balm Cherry Kiss,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 332.00,4gm
14,lips,Bronx Colors LipColor Red - LC311,SALE,৳ 450.00,৳ 401.00, ,2.8gm
15,lips,Nirvana Color Matte Bullet Lipstick - Berry Lips  B01,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 303.00,5gm
16,lips,Nirvana Color Matte Bullet Lipstick - Dusky Wine B03,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 303.00,5gm
17,lips,Amlaki Lip Scrub,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 82.00,30gm
18,lips,Bronx Colors LipPaint Hot Pink - LP324,SALE,৳ 450.00,৳ 401.00, ,12ml
19,lips,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 04,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 387.00,2.8gm
20,lips,Maybelline New York Super Stay Matte Ink Liquid Lipstick - Iconic Ruler,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 1159.00,5ml
