,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,makeup,Nirvana Color Liquid Matte Lipstick - Sweet Sin L06,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
1,makeup,Nirvana Color Liquid Matte Lipstick - Timeless L02,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 381.00,5ml
2,makeup,Nirvana Color Liquid Matte Lipstick - Sweet Raisin L05,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
3,makeup,Nirvana Color Liquid Matte Lipstick - Infatuated L03,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
4,makeup,Nirvana Color Liquid Matte Lipstick - Love Me L04,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 389.00,5ml
5,makeup,Flormar Stylematic Lipliner Coconude SL11,,৳ 450.00,৳ 401.00, ,0.35gm
6,makeup,Nirvana Color Eye Shadow Palette – You Go Girl,FREE DELIVERY,৳ 450.00,৳ 401.00, ,15gm
7,makeup,Garnier Skin Active Micellar Cleansing Water,SALE,৳ 450.00,৳ 401.00, ,100ml
8,makeup,wet n wild MegaLast Liquid Catsuit Matte Lipstick - Give Me Mocha,SALE,৳ 450.00,৳ 401.00, ,6gm
9,makeup,Vaseline Lip Therapy - Cocoa Butter,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 189.00,20gm
10,makeup,Ponds perfect radiance bb translucent powder,SALE,৳ 450.00,৳ 401.00, ,50gm
11,makeup,Groome Personal Care Cotton Pad - 80pcs,FREE DELIVERY,৳ 450.00,৳ 401.00,App Price: ৳ 207.00,
12,makeup,Rajkonna All Purpose Toner,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 203.00,120ml
13,makeup,Technic Mega Lash Water Resistant Mascara,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 290.00,12ml
14,makeup,Nivea Caring Lip Balm Soft Rose,SALE,৳ 450.00,৳ 401.00, ,4.8gm
15,makeup,w7 Banana Dreams Loose Powder,SALE,৳ 450.00,৳ 401.00, ,20gm
16,makeup,Professional Personal Cotton Pads 100pcs,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 207.00,
17,makeup,Skin Cafe Floral Hydrating Toner,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 247.00,110ml
18,makeup,Groome Glow Lip Balm With SPF 15 - Sweet Sunrise,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 181.00,30gm
19,makeup,W7 Liquid Eyeliner Pot,SALE,৳ 450.00,৳ 401.00,App Price: ৳ 237.00,8gm
20,makeup,Skin Cafe Makeup Cleansing Oil Advanced,FREE DELIVERY**,৳ 450.00,৳ 401.00,App Price: ৳ 469.00,120ml
