,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,men,Beardo GodFather Perfume,SALE,"৳ 1,899.00","৳ 1,519.00",,100ml
1,men,Himalaya Men Pimple Clear Neem Facewash,SALE,৳ 225.00,৳ 195.00,,100ml
2,men,Tresemme Shampoo Keratin Smooth,,nan,৳ 800.00,,580ml
3,men,Brut Original Deodorant Paris,SALE,৳ 550.00,৳ 450.00,App Price: ৳ 437.00,200ml
4,men,Denim Black After Shave,SALE,৳ 650.00,৳ 550.00,App Price: ৳ 534.00,100ml
5,men,Fogg Body Spray Blue (Forest),SALE,৳ 490.00,৳ 372.00,,120ml
6,men,Fogg Black Men Body Spray (Woody),SALE,৳ 475.00,৳ 375.00,,120ml
7,men,Fogg Black Men Body Spray (Aqua),SALE,৳ 475.00,৳ 361.00,,120ml
8,men,Fogg Black Men Body spray (Aromatic),SALE,৳ 475.00,৳ 375.00,,120ml
9,men,Fogg Rock Star Elite,SALE,"৳ 1,220.00",৳ 963.00,,100ml
10,men,Fogg Scent Men Impressio,SALE,৳ 900.00,৳ 729.00,,100ml
11,men,Fogg Scent Men Xpressio,SALE,৳ 900.00,৳ 729.00,,100ml
12,men,Fogg Body Spray Blue (Spring),SALE,৳ 490.00,৳ 387.00,,120ml
13,men,Fogg Black Men Body Spray (Fougere),SALE,৳ 475.00,৳ 375.00,,120ml
14,men,Fogg Black Men Body Spray (Oriental),SALE,৳ 475.00,৳ 375.00,,120ml
15,men,Fogg Rock Star Fame,SALE,"৳ 1,220.00",৳ 902.00,,100ml
16,men,Fogg Scent Men Intensio,SALE,৳ 900.00,৳ 729.00,,100ml
17,men,Fogg Scent Men Xtremo,SALE,৳ 900.00,৳ 729.00,,100ml
18,men,Fogg Body Spray Napoleon,SALE,৳ 445.00,৳ 360.00,,120ml
19,men,"Aveeno Positively Smooth Shave Gel With Soy,Aloe & Vitamin E",SALE,"৳ 1,650.00","৳ 1,450.00",App Price: ৳ 1407.00,198gm
20,men,Fogg Black Men Body Spray (Spicy),SALE,৳ 475.00,৳ 375.00,,120ml
21,men,Fogg Scent Tuxedo,SALE,৳ 705.00,৳ 556.00,,50ml
22,men,Fogg Scent Explore,SALE,৳ 705.00,৳ 571.00,,50ml
23,men,Fogg Body Spray Monarch,SALE,৳ 445.00,৳ 329.00,,120ml
24,men,Fogg Body Spray Royal,SALE,৳ 445.00,৳ 338.00,,120ml
25,men,Fogg Body Spray Marco,SALE,৳ 445.00,৳ 351.00,,120ml
26,men,Jagler Men Deodorant  Storm,,nan,৳ 425.00,App Price: ৳ 412.00,150ml
27,men,Jagler Men Deodorant Sport,,nan,৳ 425.00,App Price: ৳ 412.00,150ml
28,men,Fogg Rock Star Icon,,nan,"৳ 1,220.00",,100ml
29,men,Fogg Rock Star Dazzle,,nan,"৳ 1,220.00",,100ml
30,men,Missha All Around Safe Block Soft Finish Sun Milk SPF50+ Or PA+++,FREE DELIVERY,"৳ 1,650.00","৳ 1,299.00",,70ml
31,men,Parachute Naturale Shampoo Nourishing Care,SALE,৳ 230.00,৳ 99.00,,170ml
32,men,RIBANA Coconut Oil,SALE,৳ 400.00,৳ 370.00,App Price: ৳ 359.00,200ml
33,men,NIVEA MEN Dark Spot Reduction Creme,SALE,৳ 180.00,৳ 145.00,,30ml
34,men,Skin Cafe Coconut Oil,FREE DELIVERY**,৳ 250.00,৳ 220.00,App Price: ৳ 213.00,100ml
35,men,Skin Cafe Castor Oil (Cold Pressed),FREE DELIVERY**,৳ 550.00,৳ 490.00,App Price: ৳ 475.00,120ml
