brand,country,founded
NICKA K,United States,1995
The Body Shop,England,1976
Flormar,Italy,1950s
Topface,Not available
L'Oreal,France,1909
Pastel,Turkey
Nivea,Germany,1911
Dove,United States,1957
Technic,United Kingdom
Revlon,United States,1932
Pierre Cardin,France
Makeup Revolution,United Kingdom
SOME BY MI,South Korea
3W Clinic,South Korea
A-Bena,Bangladesh
Aarong Earth,Bangladesh
Abib,South Korea
Absolute New York,United States
Absolute White,Thailand
ACI Sandal,Bangladesh
Acne Essential,Bangladesh
Acne Star,Bangladesh
Acnes,Japan
Acno,Bangladesh
Actisef,Bangladesh
Acwell,South Korea
Adidas,Germany
AER,United States
Airwick,United Kingdom
Akij Daily,Bangladesh
Al Haramain,United Arab Emirates
Alfredo Feemas,Bangladesh
Alix Avien,Turkey
Alpecin,Germany
Always,United States
Ambassador,Bangladesh
Amlaki,Bangladesh
Ammy,Bangladesh
Amore,South Korea
Anafeli Paris,France
Angelic,Bangladesh
Anmol,Bangladesh
ANTONIO BANDERAS,Spain
AOA,United States
Aquafresh,United Kingdom
Aquaphor,United States
Aquolina,Italy
Aramis,United States
Argeville,France
Aris,Bangladesh
