,SubSubCategory,Count,Parent
0,Dull Skin Treatment,2620,Shop By Concern
1,Skin Lightening,2184,Shop By Concern
2,Anti Aging,1437,Shop By Concern
3,Pore Care,1359,Shop By Concern
4,Pigmentation,1282,Shop By Concern
5,Acne Treatment,1176,Shop By Concern
6,Oil Control,1144,Shop By Concern
7,Tan Removal,998,Shop By Concern
8,Dry Skin Remedy,940,Shop By Concern
9,Cold Protection,396,Shop By Concern
10,Sun Protection,370,Shop By Concern
11,Dull Skin Treatment,2620,Face
12,Skin Lightening,2184,Face
13,Anti Aging,1437,Face
14,Pore Care,1359,Face
15,Pigmentation,1282,Face
16,Acne Treatment,1176,Face
17,Oil Control,1144,Face
18,Tan Removal,998,Face
19,Dry Skin Remedy,940,Face
20,Cold Protection,396,Face
21,Sun Protection,370,Face
22,Dull Skin Treatment,2620,Body
23,Skin Lightening,2184,Body
24,Anti Aging,1437,Body
25,Pore Care,1359,Body
26,Pigmentation,1282,Body
27,Acne Treatment,1176,Body
28,Oil Control,1144,Body
29,Tan Removal,998,Body
30,Dry Skin Remedy,940,Body
31,Cold Protection,396,Body
32,Sun Protection,370,Body
33,Lotions & Creams,580,K- Beauty
34,Body Mist/Spray,232,K- Beauty
35,Sunscreen,225,K- Beauty
36,Deodorants/Roll-Ons,203,K- Beauty
37,Body Butter,57,K- Beauty
38,Body Scrubs,51,K- Beauty
39,Anti-Stretch Mark Creams,16,K- Beauty
40,Lotions & Creams,580,Sun Care
41,Body Mist/Spray,232,Sun Care
42,Sunscreen,225,Sun Care
43,Deodorants/Roll-Ons,203,Sun Care
44,Body Butter,57,Sun Care
45,Body Scrubs,51,Sun Care
46,Anti-Stretch Mark Creams,16,Sun Care
47,Eye Cream,81,Eye Care
48,Dark Circles / Wrinkles,48,Eye Care
49,Eye Makeup Remover,44,Eye Care
50,Under Eye Cream,23,Eye Care
51,Puffiness,19,Eye Care
52,Eye Gel,16,Eye Care
53,Day/Night Cream,9,Eye Care
54,Eye Roller,8,Eye Care
55,Eye Cream,81,Hand & Feet
56,Dark Circles / Wrinkles,48,Hand & Feet
57,Eye Makeup Remover,44,Hand & Feet
58,Under Eye Cream,23,Hand & Feet
59,Puffiness,19,Hand & Feet
60,Eye Gel,16,Hand & Feet
61,Day/Night Cream,9,Hand & Feet
62,Eye Roller,8,Hand & Feet
63,Moisturizer,1052,FACE
64,Facewash,778,FACE
65,Face Wipes,59,FACE
66,Moisturizer,1052,Body
67,Facewash,778,Body
68,Face Wipes,59,Body
69,Moisturizer,1052,Bath & Shower
70,Facewash,778,Bath & Shower
71,Face Wipes,59,Bath & Shower
72,Moisturizer,1052,Feminine Hygiene
73,Facewash,778,Feminine Hygiene
74,Face Wipes,59,Feminine Hygiene
