,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,mom-&-baby,Rikang Powder Puff,SALE,৳ 450.00,৳ 290.00,App Price: ৳ 281.00,
1,mom-&-baby,Aveeno Baby Calming Comfort Bedtime Lotion,SALE,"৳ 1,750.00","৳ 1,250.00",App Price: ৳ 1213.00,200ml
2,mom-&-baby,Parachute Just For Baby - Milky Glow Lotion,SALE,৳ 215.00,৳ 150.00,,100ml
3,mom-&-baby,Parachute Just For Baby - Milky Glow Lotion,SALE,৳ 360.00,৳ 252.00,,200ml
4,mom-&-baby,Johnson’s Baby Oil,SALE,"৳ 1,050.00",৳ 850.00,App Price: ৳ 825.00,500ml
5,mom-&-baby,Aveeno Baby Calming Comfort Bedtime Bath & Wash for Deliocate Skin,SALE,"৳ 1,450.00","৳ 1,250.00",App Price: ৳ 1213.00,250ml
6,mom-&-baby,Embla Baby Moisture Wash And Shampoo,SALE,"৳ 1,450.00","৳ 1,300.00",App Price: ৳ 1261.00,300ml
7,mom-&-baby,ASDA Little Angels Baby Shampoo,SALE,৳ 975.00,৳ 850.00,App Price: ৳ 825.00,500ml
8,mom-&-baby,Aveeno Baby Soothing Relief Emollient Cream,SALE,"৳ 2,450.00","৳ 2,250.00",App Price: ৳ 2183.00,200ml
9,mom-&-baby,L'Oreal Kids Very Berry Strawberry Shampoo,SALE,৳ 950.00,৳ 650.00,App Price: ৳ 631.00,250ml
10,mom-&-baby,Johnson's Baby Hair Oil Enriched with Avacado & Pro Vitamine B5,SALE,৳ 312.00,৳ 250.00,,100ml
11,mom-&-baby,Johnson's Baby Top-to-Toe Bath,SALE,৳ 432.00,৳ 360.00,,200ml
12,mom-&-baby,Johnson's Baby Skincare Cream,SALE,৳ 317.00,৳ 265.00,,100gm
13,mom-&-baby,Johnson's Baby Milk + Rice Bath (Malaysia),SALE,৳ 723.00,৳ 595.00,,500ml
14,mom-&-baby,Himalaya Baby Cream,SALE,৳ 225.00,৳ 200.00,,100ml
15,mom-&-baby,Bioderma ABCDerm Gel Moussant Mild Cleansing Foaming Body Gel,SALE,"৳ 2,450.00","৳ 2,150.00",,200ml
16,mom-&-baby,Dove Baby Shampoo Rich Moisture,SALE,৳ 650.00,৳ 550.00,App Price: ৳ 534.00,
17,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,৳ 140.00,৳ 112.00,,125gm
18,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,৳ 90.00,৳ 72.00,,75gm
19,mom-&-baby,Dove Baby Lotion Sensitive Moisture,SALE,৳ 550.00,৳ 495.00,App Price: ৳ 480.00,200ml
20,mom-&-baby,Aveeno Baby Daily Care Baby Moisturising Lotion,SALE,"৳ 1,000.00",৳ 900.00,App Price: ৳ 873.00,150ml
21,mom-&-baby,Embla Baby Moisture Wash And Shampoo,SALE,"৳ 1,450.00","৳ 1,300.00",App Price: ৳ 1261.00,300ml
22,mom-&-baby,ASDA Little Angels Baby Shampoo,SALE,৳ 975.00,৳ 850.00,App Price: ৳ 825.00,500ml
23,mom-&-baby,Aveeno Baby Soothing Relief Emollient Cream,SALE,"৳ 2,450.00","৳ 2,250.00",App Price: ৳ 2183.00,200ml
24,mom-&-baby,L'Oreal Kids Very Berry Strawberry Shampoo,SALE,৳ 950.00,৳ 650.00,App Price: ৳ 631.00,250ml
25,mom-&-baby,Johnson's Baby Hair Oil Enriched with Avacado & Pro Vitamine B5,SALE,৳ 312.00,৳ 250.00,,100ml
26,mom-&-baby,Johnson's Baby Top-to-Toe Bath,SALE,৳ 432.00,৳ 360.00,,200ml
27,mom-&-baby,Johnson's Baby Skincare Cream,SALE,৳ 317.00,৳ 265.00,,100gm
28,mom-&-baby,Johnson's Baby Milk + Rice Bath (Malaysia),SALE,৳ 723.00,৳ 595.00,,500ml
29,mom-&-baby,Himalaya Baby Cream,SALE,৳ 225.00,৳ 200.00,,100ml
30,mom-&-baby,Bioderma ABCDerm Gel Moussant Mild Cleansing Foaming Body Gel,SALE,"৳ 2,450.00","৳ 2,150.00",,200ml
31,mom-&-baby,Dove Baby Shampoo Rich Moisture,SALE,৳ 650.00,৳ 550.00,App Price: ৳ 534.00,
32,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,৳ 140.00,৳ 112.00,,125gm
33,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,৳ 90.00,৳ 72.00,,75gm
34,mom-&-baby,Dove Baby Lotion Sensitive Moisture,SALE,৳ 550.00,৳ 495.00,App Price: ৳ 480.00,200ml
35,mom-&-baby,Aveeno Baby Daily Care Baby Moisturising Lotion,SALE,"৳ 1,000.00",৳ 900.00,App Price: ৳ 873.00,150ml
36,mom-&-baby,Parachute Just For Baby - Baby wash,SALE,৳ 190.00,৳ 128.00,,100ml
37,mom-&-baby,Parachute Just For Baby - Baby wash,SALE,৳ 285.00,৳ 219.00,,200ml
38,mom-&-baby,Parachute Just For Baby - Baby oil,SALE,৳ 210.00,৳ 157.00,,100ml
39,mom-&-baby,Aveeno Baby Daily Moisture Lotion,SALE,"৳ 3,450.00","৳ 2,950.00",App Price: ৳ 2862.00,532ml
40,mom-&-baby,Parachute Just For Baby - Milky Glow Wash,SALE,৳ 215.00,৳ 150.00,,100ml
41,mom-&-baby,Wow Skin Science Kids 3 In 1 Tip To Toe Wash  Blueberry,SALE,"৳ 1,099.00",৳ 824.00,,300ml
42,mom-&-baby,Parachute Just for Baby- Baby Powder,SALE,৳ 130.00,৳ 100.00,,100ml
43,mom-&-baby,Aveeno Baby Daily Care Baby Hair & Body Wash,SALE,"৳ 1,450.00","৳ 1,250.00",App Price: ৳ 1213.00,300ml
44,mom-&-baby,Sebamed Baby Body Lotion For Delicate Skin,SALE,৳ 950.00,৳ 850.00,App Price: ৳ 808.00,100ml
45,mom-&-baby,Sudocrem Antiseptic Healing Cream,SALE,৳ 850.00,৳ 790.00,App Price: ৳ 766.00,125gm
46,mom-&-baby,Cetaphil Baby Wash And Shampoo,SALE,"৳ 2,850.00","৳ 2,650.00",App Price: ৳ 2571.00,399ml
47,mom-&-baby,Aveeno Baby Daily Care Hair & Body Wash,SALE,"৳ 1,450.00","৳ 1,161.00",App Price: ৳ 1126.00,250ml
48,mom-&-baby,Wow Skin Science Kids Plush & Plump Body Lotion Spf 15 Green Apple,SALE,"৳ 1,149.00",৳ 861.00,,300ml
49,mom-&-baby,Babe Laboratotios Pediatric Moisturising Body Milk,SALE,"৳ 2,850.00","৳ 2,550.00",App Price: ৳ 2474.00,500ml
50,mom-&-baby,Bioderma ABCDerm Cold-Cream Nourishing Cream,SALE,"৳ 2,450.00","৳ 2,250.00",App Price: ৳ 2183.00,200ml
51,mom-&-baby,Kokomo Paw Patrol Mild & Gentle Bath & Shower Gel,SALE,৳ 850.00,৳ 795.00,App Price: ৳ 771.00,400ml
52,mom-&-baby,Johnson's Baby Milk + Rice Lotion(Malaysia),SALE,৳ 312.00,৳ 260.00,,100ml
53,mom-&-baby,Johnson's Baby Milk and Rice  Cream,SALE,৳ 650.00,৳ 495.00,App Price: ৳ 480.00,50gm
54,mom-&-baby,Bioderma ABCDerm Shampooing,SALE,"৳ 2,450.00","৳ 2,250.00",,200ml
55,mom-&-baby,Johnson's Baby Powder,SALE,৳ 160.00,৳ 145.00,,100gm
56,mom-&-baby,Johnson's Baby Oil with Vitamin E,SALE,৳ 291.00,৳ 110.00,,50gm
57,mom-&-baby,Johnson's Baby Powder Blossoms,SALE,৳ 315.00,৳ 290.00,,200gm
58,mom-&-baby,Boots Baby Conditioning Shampoo,SALE,"৳ 1,250.00",৳ 950.00,App Price: ৳ 922.00,500ml
59,mom-&-baby,Parachute Just for Baby - Baby Powder,SALE,৳ 250.00,৳ 182.00,,200ml
60,mom-&-baby,Cetaphil Baby Daily Lotion With Organic Calendula,SALE,"৳ 2,950.00","৳ 2,650.00",App Price: ৳ 2571.00,399ml
61,mom-&-baby,Avene Sun Lotion SPF 50+ For Children,SALE,"৳ 3,650.00","৳ 3,470.00",App Price: ৳ 3366.00,250ml
62,mom-&-baby,Aveeno Baby Oat Extract Bubble Bath,SALE,"৳ 3,500.00","৳ 2,450.00",App Price: ৳ 2377.00,568ml
63,mom-&-baby,Paw Patrol Firefly Dental Set,SALE,৳ 950.00,৳ 850.00,App Price: ৳ 825.00,75ml
64,mom-&-baby,Aveeno Baby Oat Extract Bubble Bath,SALE,"৳ 3,500.00","৳ 2,450.00",App Price: ৳ 2377.00,568ml
65,mom-&-baby,Firefly Spriderman Turbomax Toothbrush,SALE,৳ 550.00,৳ 500.00,App Price: ৳ 485.00,
66,mom-&-baby,Burt's Bees Baby Bee Bubble Bath,SALE,"৳ 2,250.00","৳ 1,950.00",App Price: ৳ 1892.00,350ml
67,mom-&-baby,Burt's Bees Baby Nourishing Lotion - Original,SALE,"৳ 1,850.00","৳ 1,650.00",App Price: ৳ 1601.00,170gm
68,mom-&-baby,Johnson's Baby Lotion 100ml + Johnson's Baby Soap 50 gm,COMBO,nan,৳ 299.00,,
69,mom-&-baby,Johnson's Baby TTT Bath 200 ml + Johnson's Baby Oil 100ml,COMBO,nan,৳ 530.00,,
70,mom-&-baby,Johnson's Baby Soap 50 gm (Buy 3 Get 1),BUY 1 GET 1,nan,৳ 300.00,,
71,mom-&-baby,Meril Baby Top To Toe Wash,,nan,৳ 250.00,,200ml
72,mom-&-baby,ASDA Little Angels Bubble Bath & Wash,,nan,৳ 975.00,App Price: ৳ 946.00,500ml
73,mom-&-baby,Dr. C. Tuna Baby Soap,,nan,৳ 800.00,,100gm
74,mom-&-baby,Parachute Just for Baby - Baby Oil 200ml (Baby Wash 100ml FREE),BUY 1 GET 1,nan,৳ 390.00,,
75,mom-&-baby,YC Baby Shampoo,,nan,৳ 275.00,App Price: ৳ 267.00,100ml
76,mom-&-baby,Johnson's Bedtime Baby Lotion 500ml,,nan,"৳ 1,250.00",App Price: ৳ 1213.00,500ml
77,mom-&-baby,CeraVe Baby Moisturizing Cream,,nan,"৳ 2,250.00",App Price: ৳ 2183.00,142gm
78,mom-&-baby,Cetaphil Baby Mild Bar,,nan,৳ 520.00,,75gm
79,mom-&-baby,Cetaphil Baby Massage Oil,,nan,"৳ 1,785.00",,200ml
80,mom-&-baby,Kodomo Dental Kids Set Yellow (3 to 6 Years),,nan,৳ 187.00,App Price: ৳ 181.00,
81,mom-&-baby,Kodomo Dental Kids Set - Blue 6+ Years,,nan,৳ 187.00,App Price: ৳ 181.00,
82,mom-&-baby,Kodomo Baby Gift Set - 5pcs,,nan,"৳ 1,267.00",App Price: ৳ 1229.00,
83,mom-&-baby,Johnson's Milk+ Rice Lotion,,nan,৳ 495.00,,200ml
84,mom-&-baby,Johnson's Baby Milk and Rice  Cream,,nan,৳ 750.00,App Price: ৳ 713.00,100gm
85,mom-&-baby,Parachute Just for Baby - Baby Powder (Baby Soap 75g Free),BUY 1 GET 1,nan,৳ 250.00,,200gm
86,mom-&-baby,Johnson's Baby Milk+Rice Lotion,,nan,৳ 750.00,App Price: ৳ 728.00,200ml
87,mom-&-baby,Johnson's Baby Oil,,nan,৳ 445.00,App Price: ৳ 432.00,200gm
88,mom-&-baby,Johnson's Baby Oil with Vitamin E,,nan,৳ 244.00,,100gm
89,mom-&-baby,Johnson's Milk+ Rice Cream,,nan,৳ 130.00,,30gm
90,mom-&-baby,Savlon Baby wipe 80s,,nan,৳ 230.00,,
91,mom-&-baby,Twinkle Baby Wipes Pouch 80 pcs,,nan,৳ 200.00,,
92,mom-&-baby,Twinkle Baby Soap,,nan,৳ 85.00,,75gm
93,mom-&-baby,Meril Baby Shampoo,,nan,৳ 155.00,,110ml
94,mom-&-baby,Meril Baby Lotion,,nan,৳ 320.00,,200ml
95,mom-&-baby,Meril Baby Soap,,nan,৳ 85.00,,75gm
96,mom-&-baby,Johnson's Baby Lotion 100ml + Johnson's Baby Soap 50 gm,COMBO,nan,৳ 299.00,,
97,mom-&-baby,Johnson's Baby TTT Bath 200 ml + Johnson's Baby Oil 100ml,COMBO,nan,৳ 530.00,,
