,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,nails,Nirvana Color Nail Enamel - Naughty Hand-07,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
1,nails,Nirvana Color Top Coat (Matte Effect) - Hold Hands-02,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
2,nails,Nirvana Color Nail Enamel - I Am Jealous-05,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
3,nails,Nirvana Color Nail Enamel - I Am Yours-09,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
4,nails,Nirvana Color Nail Enamel - Smile On Me -15,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
5,nails,Nirvana Color Nail Enamel - Dreams For You -16,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
6,nails,Nirvana Color Nail Enamel - Pretty Girl -17,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
7,nails,Nirvana Color Nail Enamel - Mysterious Look -18,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
8,nails,Nirvana Color Glitter Nail Enamel - Shiny Hand-22,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
9,nails,Nirvana Color Glitter Nail Enamel - Hold Me -24,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
10,nails,Nirvana Color Nail Enamel - Olive You - 34,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
11,nails,Nirvana Color Nail Enamel - Black Swan - 38,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
12,nails,Nirvana Color Nail Enamel - Snow White - 27,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 153.00,8ml
13,nails,Nirvana Color Nail Enamel - Pink Lemonade - 30,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
14,nails,Nirvana Color Nail Enamel - Beautiful Mess - 32,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
15,nails,Nirvana Color Nail Enamel - Mint Mojito - 33,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
16,nails,Nirvana Color Nail Enamel - Feeling Blue - 35,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
17,nails,W7 Glamorous Artificial Nails Red Carpet,SALE,৳ 180.00,৳ 161.00,App Price: ৳ 412.00,2gm
18,nails,W7 Glamorous Artificial Nails White Lily,SALE,৳ 180.00,৳ 161.00,App Price: ৳ 412.00,2gm
19,nails,Nirvana Color Nail Enamel - Fairytale-03,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
20,nails,Nirvana Color Nail Enamel - Sweet Shadow-04,FREE DELIVERY**,৳ 180.00,৳ 161.00,App Price: ৳ 156.00,8ml
