,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,offers,Skin Cafe Hair Care BOGO Offer 1 ( Skin Cafe Banana Shampoo with Egg Protein + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY**,"৳ 1,750.00",৳ 425.00, ,
1,offers,Valene Moon n Back Wireless T-Shirt Bra Combo,COMBO,"৳ 1,750.00",৳ 425.00, ,
2,offers,Buy 1 Dabur Gold Beliphool Non-Sticky Coconut Hair Oil & Get 1 Lux Soap 75 gm,BUY 1 GET 1,"৳ 1,750.00",৳ 425.00, ,
3,offers,Simple Kind To Skin Refreshing Facial Wash Gel,SALE,"৳ 1,750.00",৳ 425.00, ,150ml
4,offers,Pond’s Super Light Gel with Hyaluronic Acid + Vitamin E,SALE,"৳ 1,750.00",৳ 425.00, ,25ml
5,offers,Garnier Skin Active Micellar Cleansing Water,SALE,"৳ 1,750.00",৳ 425.00, ,100ml
6,offers,Livon Serum Hair Essentials Vitamin E,SALE,"৳ 1,750.00",৳ 425.00, ,18ml
7,offers,Simple Kind To Skin Soothing Facial Toner,SALE,"৳ 1,750.00",৳ 425.00,App Price: ৳ 474.00,200ml
8,offers,W7 Liquid Eyeliner Pot,SALE,"৳ 1,750.00",৳ 425.00,App Price: ৳ 237.00,8gm
9,offers,Groome Beauty Blender Sponge (Yellow),SALE,"৳ 1,750.00",৳ 425.00,App Price: ৳ 149.00,
10,offers,Buy Parachute Hair Oil Advansed Aloe Vera Enriched Coconut 250Ml + Parachute Naturale Shampoo Anti Hair Fall 170Ml Get Skinpure Aloe Vera Gel 50G Free,BUY 1 GET 1,"৳ 1,750.00",৳ 425.00, ,
11,offers,Parachute Hair Oil Advansed Aloe Vera Enriched Coconut 150ml Pack of 2 (150ml x 2),COMBO,"৳ 1,750.00",৳ 425.00, ,
12,offers,Hair Care Bundle - Livon Hair Serum 100ml & Parachute Naturale Onion Shampoo 175ml,COMBO,"৳ 1,750.00",৳ 425.00, ,
13,offers,Parachute Anti Hairfall Oil Extra Care 300ml & Parachute Naturale Shampoo Advanced Hair Fall Control 345ml Combo,COMBO,"৳ 1,750.00",৳ 425.00, ,
14,offers,ANTI HAIR-FALL BUNDLE - Parachute Anti Hairfall Oil Extra Care 300ml (Root Applier) & Parachute Naturale Shampoo Anti Hair Fall 340ml,COMBO,"৳ 1,750.00",৳ 425.00, ,
15,offers,Nihar Anti Hairfall 5 Seeds Hair Oil 200ml & Parachute Naturale Shampoo Hijab Fresh 340ml Combo,COMBO,"৳ 1,750.00",৳ 425.00, ,
16,offers,WOW Skin Science Apple Cider Vinegar Shampoo 300ml and WOW Skin Science Apple Cider Vinegar Conditioner 300ml Combo,COMBO,"৳ 1,750.00",৳ 425.00, ,
17,offers,Parachute Hair Oil Anti Hairfall Oil Extra Care 150Ml (Root Applier) Pack Of 2 (150Ml X 2),BUY 1 GET 1,"৳ 1,750.00",৳ 425.00, ,
18,offers,FOGG perfumed ROLL ON - Absolute 50ml,SALE,"৳ 1,750.00",৳ 425.00, ,50ml
19,offers,Buy One Livon Hair Serum 100Ml Get One Goat Milk Facewash - Glow - 50Gm Free,BUY 1 GET 1,"৳ 1,750.00",৳ 425.00, ,
20,offers,Buy One Parachute Naturale Shampoo Damage Repair 340Ml Get One Goat Milk Facewash - Glow - 50Gm Free,BUY 1 GET 1,"৳ 1,750.00",৳ 425.00, ,
