,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,personal-care,Lilac 3X Spot Lightener,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 303.00,50gm
1,personal-care,Rajkonna Glow Booster Facial Wash With Jojoba Beads,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 157.00,100ml
2,personal-care,Rajkonna Acne Fighting Facial Wash With Jojoba Beads,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 157.00,100ml
3,personal-care,Skin Cafe Pure & Natural Aloe Vera gel 98%,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 427.00,240ml
4,personal-care,Nivea Face Wash Milk Delights Precious Saffron (Normal Skin),SALE,৳ 350.00,৳ 312.00, ,100ml
5,personal-care,Skin Cafe Sunscreen SPF 50 PA+++ Lightweight & Non-Greasy,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 502.00,60gm
6,personal-care,Lilac Advanced Brightening Moisturizer- All Skin Types,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 719.00,50gm
7,personal-care,Nivea Face Wash Milk Delights Caring Rosewater (Sensitive Skin),SALE,৳ 350.00,৳ 312.00, ,100ml
8,personal-care,Lilac Advanced Brightening Face Wash Dry And Sensitive Skin,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 550.00,120ml
9,personal-care,LILAC Brightening Face Wash Oily And Combination Skin,FREE DELIVERY**,৳ 350.00,৳ 312.00,App Price: ৳ 562.00,120ml
10,personal-care,Natures Response Energising Blend Essential Oil,,৳ 350.00,৳ 312.00, ,10ml
11,personal-care,HB Factory Red Ginseng Cleansing Foam,,৳ 350.00,৳ 312.00,App Price: ৳ 825.00,80ml
12,personal-care,Buy 1 Dabur Gold Beliphool Non-Sticky Coconut Hair Oil & Get 1 Lux Soap 75 gm,BUY 1 GET 1,৳ 350.00,৳ 312.00, ,
13,personal-care,Himalaya Purifying Neem Face Wash,SALE,৳ 350.00,৳ 312.00, ,150ml
14,personal-care,Himalaya Natural Glow Saffron Face Cream,,৳ 350.00,৳ 312.00, ,50gm
15,personal-care,Vaseline Lotion Aloe Fresh 200ml,,৳ 350.00,৳ 312.00, ,200ml
16,personal-care,Freedom Super Dry Regular Flow Popular,,৳ 350.00,৳ 312.00, ,
17,personal-care,NEUTROGENA Refreshingly Clear Facial Wash,,৳ 350.00,৳ 312.00,App Price: ৳ 922.00,200ml
18,personal-care,Nivea Soft Jar Moisturising Cream,SALE,৳ 350.00,৳ 312.00, ,50ml
19,personal-care,Simple Kind to Skin Hydrating Light Moisturiser,SALE,৳ 350.00,৳ 312.00, ,125ml
20,personal-care,"Aveeno Positively Smooth Shave Gel With Soy,Aloe & Vitamin E",SALE,৳ 350.00,৳ 312.00,App Price: ৳ 1407.00,198gm
