ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,beauty-bonanza-clearance-sale,Natures Response Energising Blend  Essential Oil,nan,,515.0,,10ml,,10.0
1,beauty-bonanza-clearance-sale,Flormar Stylematic Lipliner Coconude SL11,nan,,700.0,,0.35gm,0.35,
2,beauty-bonanza-clearance-sale,HB Factory Red Ginseng Cleansing Foam,nan,,850.0,825.0,80ml,,80.0
3,beauty-bonanza-clearance-sale,Listerine Reach Toothbrush Access Firm Toothbrush,SALE,250.0,190.0,184.0,,,
4,beauty-bonanza-clearance-sale,Clinique 7 Day Scrub Cream Rinse-Off Formula,SALE,4000.0,3000.0,,100ml,,100.0
5,beauty-bonanza-clearance-sale,Wazih Organic Marigold Flower Powder,SALE,250.0,200.0,194.0,80gm,80.0,
6,beauty-bonanza-clearance-sale,Grace Day Aqua Forest Mist,SALE,1250.0,1150.0,1116.0,100ml,,100.0
7,beauty-bonanza-clearance-sale,Irish Spring 5 in 1 Hair Body Wash and Shampoo,SALE,1450.0,1250.0,1213.0,532ml,,532.0
8,beauty-bonanza-clearance-sale,W7 Glamorous Artificial Nails Red Carpet,SALE,475.0,425.0,412.0,2gm,2.0,
9,beauty-bonanza-clearance-sale,Issey Miyake Nuit D’issey Parfum For Men,SALE,8500.0,7500.0,7275.0,125ml,,125.0
10,beauty-bonanza-clearance-sale,Eucerin Dermo Purifyer Oil Control Scrub,SALE,1850.0,1750.0,1698.0,100ml,,100.0
11,beauty-bonanza-clearance-sale,Enchanteur Satin Smooth Enticing Lotion with Aloe Vera & Olive Butter,SALE,750.0,595.0,577.0,250ml,,250.0
12,beauty-bonanza-clearance-sale,Clinique Happy Perfume Spray for Women,SALE,6200.0,4449.0,4316.0,100ml,,100.0
13,beauty-bonanza-clearance-sale,Alpecin Medicinal Shampoo Concentrate for oily hair,SALE,1850.0,1550.0,1504.0,200ml,,200.0
14,beauty-bonanza-clearance-sale,Vatika Hair Fall Control Shampoo with Cactus & Gergir,SALE,950.0,750.0,728.0,400ml,,400.0
15,beauty-bonanza-clearance-sale,Alpecin Medicinal Shampoo Concentrate for dandruff,SALE,1850.0,1550.0,1504.0,200ml,,200.0
16,beauty-bonanza-clearance-sale,La Roche-Posay Hydraphase UV Intense Moisturiser Rich,SALE,2950.0,2350.0,2280.0,50ml,,50.0
17,beauty-bonanza-clearance-sale,Clinique for Men Face Wash Oily Skin Formula,SALE,8500.0,6099.0,,200ml,,200.0
18,beauty-bonanza-clearance-sale,Technic Pro Pigment Loose Eye Shadow Powder - Blue'd Up,SALE,395.0,325.0,315.0,2gm,2.0,
19,beauty-bonanza-clearance-sale,Technic Pro Pigment Loose Eye Shadow Powder - Shoop Shoop Pink,SALE,395.0,325.0,315.0,2gm,2.0,
20,beauty-bonanza-clearance-sale,Technic Pro Pigment Loose Eye Shadow Powder - Merry Mermaid,SALE,395.0,325.0,315.0,2gm,2.0,
