ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,clothing-&-more,Turaag Active Vitality Leggings - Mauvewood Red,nan,,1749.0,1697.0,4 Variations,,
1,clothing-&-more,Turaag Active Vitality Leggings - Pulm Purple,nan,,1749.0,1697.0,4 Variations,,
2,clothing-&-more,Turaag Active Vitality Leggings - Midnight Blue,nan,,1749.0,1697.0,4 Variations,,
3,clothing-&-more,Turaag Active Flex 360 Leggings - Pink,nan,,2399.0,2327.0,4 Variations,,
4,clothing-&-more,Turag Active Vitality Cropped Leggings - Black,nan,,1504.0,1459.0,4 Variations,,
5,clothing-&-more,Armela Beyond The Mat Yoga Legging-Pastel Blue,nan,,1095.0,,5 Variations,,
6,clothing-&-more,Turaag Active Optimum Play Leggings - Black Mix,nan,,1849.0,1794.0,4 Variations,,
7,clothing-&-more,Turaag Active Vitality Leggings - Black,nan,,1749.0,1697.0,4 Variations,,
8,clothing-&-more,Armela Beyond The Mat Yoga Legging- Whale Blue,nan,,1095.0,,4 Variations,,
9,clothing-&-more,Turaag Active Vitality Leggings - Fizzy Melon,nan,,1749.0,1697.0,4 Variations,,
10,clothing-&-more,Armela Beyond The Mat Yoga Legging-Vintage Pink,nan,,1095.0,,5 Variations,,
11,clothing-&-more,Turaag Active Flex 360 Leggings - Lavender,nan,,2399.0,2327.0,4 Variations,,
12,clothing-&-more,Turaag Active Flex 360 Leggings - Coral Blue,nan,,2399.0,2327.0,4 Variations,,
13,clothing-&-more,Turaag Active Flex 360 Leggings - Navy,nan,,2399.0,2327.0,4 Variations,,
14,clothing-&-more,Turaag Active Flex 360 Leggings - Dark Grey,nan,,2399.0,2327.0,4 Variations,,
15,clothing-&-more,Turaag Active Flex 360 Seamless Shorts,nan,,1289.0,1250.0,4 Variations,,
16,clothing-&-more,Turaag Active Optimum Roar Leggings - Midnight Blue Mix,nan,,1849.0,1794.0,4 Variations,,
17,clothing-&-more,Turag Active Flex 360 Seamless Shorts - Pink,nan,,1289.0,1250.0,4 Variations,,
18,clothing-&-more,Armela Beyond The Mat Yoga Legging-Rock Gray,nan,,1095.0,,4 Variations,,
19,clothing-&-more,Turag Active Vitality Cropped Leggings - Dark Night,SOLD OUT,,1504.0,1459.0,4 Variations,,
20,clothing-&-more,Turag Active Flex 360 Seamless Shorts - Coral Blue,SOLD OUT,,1289.0,1250.0,4 Variations,,
21,clothing-&-more,Turag Active Flex 360 Seamless Shorts - Coral Blue,SOLD OUT,,1289.0,1250.0,4 Variations,,
22,clothing-&-more,Fabrilife Woman Premium Trouser - Carolina,SOLD OUT,,695.0,674.0,4 Variations,,
23,clothing-&-more,Fabrilife Woman Premium Trouser - Reddot,SOLD OUT,,695.0,674.0,4 Variations,,
24,clothing-&-more,Fabrilife Woman Premium Trouser - Midnight,SOLD OUT,,695.0,674.0,4 Variations,,
25,clothing-&-more,Turag Active Vitality Cropped Leggings - Fiery Pink,SOLD OUT,,1504.0,1459.0,4 Variations,,
26,clothing-&-more,Turag Active Vitality Cropped Leggings - Grape Wine,SOLD OUT,,1504.0,1459.0,4 Variations,,
