ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,combo,Valene Moon n Back Wireless T-Shirt Bra Combo,COMBO,1750.0,1399.0,,,,
1,combo,Mediker Safelife Combo Pack 370ml (Pump + Refill),COMBO,170.0,136.0,,,,
2,combo,Mediker SafeLife Hand Wash Refill Combo Pack (170ml X 2pcs),COMBO,130.0,97.0,,,,
3,combo,Fogg Scent Czar 30ml (2 pieces Combo),COMBO,520.0,421.0,,,,
4,combo,Fogg Scent Tycoon 30ml (2 pieces Combo),COMBO,520.0,421.0,,,,
5,combo,Studio X Clean & Fresh Soap For Men Combo Pack (125gm x 3),COMBO,195.0,171.0,,,,
6,combo,Couple Combo (Face Wash) - Studio X Brightening Facewash for Men 100ml & Parachute SkinPure Goat Milk Brightening Facewash (Glow) 100gm,COMBO,410.0,314.0,,,,
7,combo,Couple Combo (Face Wash) - Studio X Oil Clear Facewash for Men 100ml & Parachute SkinPure Aloe Vera Brightening Facewash (Oil Control) 100gm,COMBO,410.0,320.0,,,,
8,combo,Parachute Hair Oil Anti Hairfall Oil Extra Care 300ml (Root Applier) Pack of 2 (300ml X 2),COMBO,590.0,540.0,,,,
9,combo,Parachute Anti Hairfall Oil Extra Care 150ml & Parachute Naturale Shampoo Advanced Hair Fall Control 175ml Combo,COMBO,400.0,358.0,,,,
10,combo,ANTI HAIR-FALL BUNDLE - Parachute Anti Hairfall Oil Extra Care 300ml (Root Applier) & Parachute Naturale Shampoo Hijab Fresh 340ml,COMBO,625.0,503.0,,,,
11,combo,Kesh King Hair Fall Defense Combo,COMBO,770.0,590.0,,,,
12,combo,Wazih mesta solution combo,COMBO,1050.0,870.0,,210gm,210.0,
13,combo,Nihar Anti Hairfall 5 Seeds Hair Oil 200ml & Parachute Naturale Shampoo Anti Hair Fall 340ml Combo,COMBO,590.0,418.0,,,,
14,combo,Fogg Body spray Women (Paradise) 120ml  COMBO Offer,COMBO,890.0,599.0,,,,
15,combo,Parachute Just for Baby - Face Cream 100g Pack of 2 Combo (100ml x 2),COMBO,450.0,317.0,,,,
16,combo,Couple Combo (Shampoo) - Studio X Clean & Strong Shampoo for Men 175ml & Parachute Naturale Shampoo Anti Hair Fall 170ml,COMBO,450.0,304.0,,,,
17,combo,Mediker SafeLife Hand Wash Pump Combo Pack (200ml X 2pcs),COMBO,210.0,178.0,,,,
