ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,eyes,Nirvana Color Eye Shadow Palette – You Go Girl,FREE DELIVERY,650.0,325.0,,15gm,15.0,
1,eyes,Technic Mega Lash Water Resistant Mascara,SALE,350.0,299.0,290.0,12ml,,12.0
2,eyes,Professional Personal Cotton Pads 100pcs,SALE,250.0,218.0,211.0,,,
3,eyes,W7 Liquid Eyeliner Pot,SALE,300.0,249.0,242.0,8gm,8.0,
4,eyes,Essence i love extreme crazy volume mascara,SALE,750.0,625.0,606.0,12ml,,12.0
5,eyes,Miss & Mrs Ultrafine Dipliner Eye Liner,SALE,450.0,399.0,387.0,4.5ml,,4.5
6,eyes,Maybelline Colossal Kohl Kajal 24H Black,SALE,450.0,350.0,333.0,0.35gm,0.35,
7,eyes,Skin Cafe Micellar Water,FREE DELIVERY,350.0,308.0,299.0,120ml,,120.0
8,eyes,Lakme Insta-Liner Water Resistant Eyeliner,SALE,295.0,285.0,,9ml,,9.0
9,eyes,Absolute New York Waterproof Gel Eye Liner White Kajal - NFB91,SALE,750.0,600.0,582.0,1.1gm,1.1,
10,eyes,Miss & Mrs Nina 5 Colors Eyeshadow Glow Looks - 01,SALE,470.0,410.0,398.0,12.5gm,12.5,
11,eyes,Technic Pro Pigment Loose Eye Shadow Powder - Blue'd Up,SALE,395.0,325.0,315.0,2gm,2.0,
12,eyes,Nirvana Color Liquid Matte Eyeliner Deep Black,SALE,350.0,312.0,303.0,3ml,,3.0
13,eyes,Technic Faux Mink 3D Lashes - Milan,SALE,400.0,350.0,340.0,1ml,,1.0
14,eyes,Technic Luxe Cashmere Lashes - Ruby,SALE,400.0,340.0,330.0,,,
15,eyes,Technic Luxe Cashmere Lashes - Amelie,SALE,400.0,350.0,340.0,,,
16,eyes,Technic Faux Silk Lashes - Tango,SALE,400.0,350.0,340.0,,,
17,eyes,Absolute New York Duo Stroke Dual Ended Precision Liquid Liner Black Noir ABLL05,SALE,950.0,810.0,786.0,0.8ml,,0.8
18,eyes,Technic Faux Silk Lashes - Bolero,SALE,400.0,295.0,286.0,,,
19,eyes,Nirvana Color Volume Pro Mascara,SALE,490.0,437.0,424.0,12ml,,12.0
20,eyes,AOA Gel Eyeliner- Dark Brown,SALE,450.0,405.0,393.0,1.58gm,1.58,
21,eyes,Technic Faux Silk Lashes - Bolero,SALE,400.0,295.0,286.0,,,
22,eyes,Absolute New York Waterproof Gel Eye Liner White Kajal - NFB91,SALE,750.0,600.0,582.0,1.1gm,1.1,
23,eyes,Nirvana Color Liquid Matte Eyeliner Deep Black,SALE,350.0,312.0,303.0,3ml,,3.0
24,eyes,Miss & Mrs Nina 5 Colors Eyeshadow Glow Looks - 01,SALE,470.0,410.0,398.0,12.5gm,12.5,
25,eyes,Technic Pro Pigment Loose Eye Shadow Powder - Blue'd Up,SALE,395.0,325.0,315.0,2gm,2.0,
26,eyes,Technic Faux Mink 3D Lashes - Milan,SALE,400.0,350.0,340.0,1ml,,1.0
27,eyes,Boots cucumber cleansing lotion Sweep the night away 150ml,SALE,550.0,495.0,480.0,150ml,,150.0
28,eyes,Focallure Waterproof Auto Brows Pen 03 Black (Fa18),SALE,350.0,300.0,291.0,0.25gm,0.25,
29,eyes,Focallure Waterproof Auto Brows Pen 01 Dark Gray (Fa18),SALE,350.0,300.0,291.0,0.25gm,0.25,
30,eyes,Focallure Uptown Girls Eyeshadow Palette 03 Sunflower At Sunset (Fa158),SALE,650.0,390.0,,10gm,10.0,
31,eyes,Focallure Uptown Girls Eyeshadow Palette 02 Sakura In Dream (Fa158),SALE,650.0,390.0,,10gm,10.0,
32,eyes,Focallure Staymax Waterproof Volumizing Mascara (Fa148),SALE,440.0,395.0,383.0,4.5gm,4.5,
33,eyes,L'Oreal Paris Kajal Magique Bold,SALE,850.0,645.0,626.0,0.35gm,0.35,
34,eyes,Technic Luxe Faux Mink 3D Lashes  - Kiki,SALE,400.0,325.0,315.0,,,
35,eyes,Technic Luxe Faux Mink 3D Lashes - Minnie,SALE,400.0,295.0,286.0,,,
36,eyes,Technic Faux Silk Lashes - Mambo,SALE,400.0,295.0,286.0,,,
37,eyes,Technic Pressed Pigment Cinnamon Swirl,SALE,750.0,495.0,480.0,29.6gm,29.6,
38,eyes,Essence lash princess false lash effect mascara,SALE,750.0,625.0,606.0,12ml,,12.0
39,eyes,Miss & Mrs Nina 12 Colors Eyeshadow Palette Shade - 02,SALE,590.0,549.0,533.0,21gm,21.0,
40,eyes,Miss & Mrs Nina 12 Colors Eyeshadow Palette Shade - 03,SALE,590.0,549.0,533.0,21gm,21.0,
41,eyes,Absolute New York Eyelash Glue Adhesive with Brush-EGLA02,SALE,650.0,535.0,519.0,5gm,5.0,
