ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,face,Garnier Skin Active Micellar Cleansing Water,SALE,550.0,449.0,,100ml,,100.0
1,face,Ponds perfect radiance bb translucent powder,SALE,350.0,300.0,,50gm,50.0,
2,face,Groome Personal Care Cotton Pad - 80pcs,FREE DELIVERY,245.0,213.0,207.0,,,
3,face,Rajkonna All Purpose Toner,FREE DELIVERY,240.0,214.0,203.0,120ml,,120.0
4,face,Professional Personal Cotton Pads 100pcs,SALE,250.0,218.0,211.0,,,
5,face,w7 Banana Dreams Loose Powder,SALE,650.0,449.0,,20gm,20.0,
6,face,Skin Cafe Floral Hydrating Toner,FREE DELIVERY,295.0,259.6,252.0,110ml,,110.0
7,face,Skin Cafe Makeup Cleansing Oil Advanced,FREE DELIVERY,550.0,484.0,469.0,120ml,,120.0
8,face,Nirvana Color Mattifying and Poreless Pressed Powder (Light Beige),SALE,580.0,517.0,501.0,15gm,15.0,
9,face,Lucy Oliva Olive Oil,SALE,250.0,220.0,,100ml,,100.0
10,face,Lucy Oliva Olive Oil,SALE,380.0,330.0,,150ml,,150.0
11,face,Nirvana Color Mattifying and Poreless Pressed Powder (Light Natural),SALE,580.0,517.0,501.0,15gm,15.0,
12,face,Skin Cafe Micellar Water,FREE DELIVERY,350.0,308.0,299.0,120ml,,120.0
13,face,Nirvana Color Smart Coverage Bb Cream With Spf 15 - Light,SALE,450.0,401.0,389.0,30ml,,30.0
14,face,Ponds Face Powder Angle Face Pinkish White Glow,SALE,350.0,340.0,,50gm,50.0,
15,face,W7 The Matte Fixer Setting Spray,SALE,620.0,545.0,529.0,60ml,,60.0
16,face,White Tone Face Powder,SALE,160.0,129.0,,30gm,30.0,
17,face,Miss & Mrs Nina 5 Colors Cheek Glow Looks - 02,SALE,470.0,410.0,398.0,12.5gm,12.5,
18,face,W7 HD Concealer - Light warm LW5,SALE,450.0,375.0,364.0,14ml,,14.0
19,face,W7 HD Concealer - Fair Neutral FN2,SALE,450.0,405.0,393.0,14ml,,14.0
20,face,W7 HD Concealer  - Fair Cool FC1,SALE,450.0,375.0,364.0,14ml,,14.0
21,face,Focallure Matchmax Baking & Setting Loose Powder 04 Warm Beige (Fa154),SALE,650.0,585.0,556.0,15gm,15.0,
22,face,Focallure Makeup Setting Spray (Fa96),SALE,900.0,800.0,,100ml,,100.0
23,face,Focallure Flawless Longwear Foundation 202 Natural Beige (Fa256),SALE,700.0,625.0,606.0,20gm,20.0,
24,face,Focallure Flawless Long Lasting Setting spray (Fa352),SALE,720.0,650.0,631.0,65ml,,65.0
25,face,Focallure Face Highlighter & Contour 01 Sliver (Fa01),SALE,350.0,315.0,306.0,6gm,6.0,
26,face,Absolute New York HD Flawless Fluid Foundation Tan AHDF04,SALE,1250.0,1025.0,994.0,28ml,,28.0
27,face,Absolute New York HD Powder Foundation–Pearl–HDPF02,SALE,1250.0,1025.0,994.0,8gm,8.0,
