ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,fragrance,Fogg Body Spray Women (Radiate),SALE,445.0,360.0,,120ml,,120.0
1,fragrance,Fogg Body Spray Blue (Spring),SALE,490.0,387.0,,120ml,,120.0
2,fragrance,Fogg Scent Tuxedo,SALE,705.0,556.0,,50ml,,50.0
3,fragrance,Fogg Scent Explore,SALE,705.0,571.0,,50ml,,50.0
4,fragrance,Fogg Body Spray Women (Paradise),SALE,445.0,360.0,,120ml,,120.0
5,fragrance,Fogg Body Spray Blue (Forest),SALE,490.0,372.0,,120ml,,120.0
6,fragrance,Ossum Fragrance Body Mist Blueberry,SALE,375.0,296.0,,120ml,,120.0
7,fragrance,FOGG perfumed ROLL ON - Bold FOR WOMEN,SALE,199.0,142.0,,50ml,,50.0
8,fragrance,Enchanteur Perfumed Deo Roll-on Romantic,SALE,250.0,225.0,214.0,50ml,,50.0
9,fragrance,Tom & Darin Exotic Natural Spray Vaporisateur Eau De Toilette,SALE,650.0,553.0,536.0,100ml,,100.0
10,fragrance,Tom & Darin Versus Diamond Fragrance Body Spray,SALE,320.0,272.0,258.0,120ml,,120.0
11,fragrance,Ossum Fragrance Body Mist Peach,SALE,375.0,303.0,,120ml,,120.0
12,fragrance,Ossum Fragrance Body Mist Green Tea,SALE,375.0,303.0,,120ml,,120.0
13,fragrance,Enchanteur Enticing Deodorant Roll-on,SALE,250.0,230.0,223.0,50ml,,50.0
14,fragrance,Nirvana Color Eau De Parfum For Women Pankouri (পানকৌড়ি),SALE,450.0,401.0,389.0,25ml,,25.0
15,fragrance,Nirvana Color Eau De Parfum For Women Akashleena (আকাশলীনা),SALE,450.0,401.0,389.0,25ml,,25.0
16,fragrance,Al Haramain Belle Rogue Spray,SALE,3850.0,3080.0,,75ml,,75.0
17,fragrance,Al Haramain Musk Poudree Attar,SALE,3000.0,2400.0,,12ml,,12.0
18,fragrance,Nivea Female  Dry Comfort Roll On,SALE,150.0,142.5,,25ml,,25.0
19,fragrance,NIVEA Female Roll On Extra Brightening,SALE,260.0,247.0,,50ml,,50.0
20,fragrance,Ossum Perfumed Body Mist (Romance),SALE,515.0,417.0,,115ml,,115.0
21,fragrance,Ossum Fragrance Body Mist Frenzy,SALE,375.0,303.0,,120ml,,120.0
22,fragrance,Chanel Bleu De Chanel Eau De Toilette (EDT),SALE,22000.0,21340.0,,150ml,,150.0
23,fragrance,Hugo Boss Boss Orange Pour Femme Eau de Toilette,SALE,5500.0,4500.0,4365.0,75ml,,75.0
24,fragrance,Enchanteur Perfumed Deo Roll-on Charming,SALE,250.0,230.0,223.0,50ml,,50.0
25,fragrance,Ossum Perfumed Body Mist (Blossum),SALE,515.0,417.0,,115ml,,115.0
26,fragrance,Ossum Perfumed Body Mist (Delight),SALE,515.0,417.0,,115ml,,115.0
27,fragrance,Enchanteur Charming Deo spray,SALE,350.0,325.0,315.0,150ml,,150.0
28,fragrance,Tom & Darin Exotic Natural Spray Vaporisateur Eau De Toilette,SALE,650.0,553.0,536.0,100ml,,100.0
29,fragrance,Tom & Darin Versus Diamond Fragrance Body Spray,SALE,320.0,272.0,258.0,120ml,,120.0
30,fragrance,NIVEA Female Roll On Extra Brightening,SALE,260.0,247.0,,50ml,,50.0
31,fragrance,Nivea Female  Dry Comfort Roll On,SALE,150.0,142.5,,25ml,,25.0
32,fragrance,Al Haramain Belle Rogue Spray,SALE,3850.0,3080.0,,75ml,,75.0
33,fragrance,Al Haramain Musk Poudree Attar,SALE,3000.0,2400.0,,12ml,,12.0
34,fragrance,Nirvana Color Eau De Parfum For Women Pankouri (পানকৌড়ি),SALE,450.0,401.0,389.0,25ml,,25.0
35,fragrance,Nirvana Color Eau De Parfum For Women Akashleena (আকাশলীনা),SALE,450.0,401.0,389.0,25ml,,25.0
36,fragrance,Enchanteur Enticing Deodorant Roll-on,SALE,250.0,230.0,223.0,50ml,,50.0
37,fragrance,Ossum Fragrance Body Mist Peach,SALE,375.0,303.0,,120ml,,120.0
38,fragrance,Ossum Fragrance Body Mist Green Tea,SALE,375.0,303.0,,120ml,,120.0
39,fragrance,Ossum Perfumed Body Mist (Romance),SALE,515.0,417.0,,115ml,,115.0
40,fragrance,Fogg Scent Discover,SALE,705.0,571.0,,50ml,,50.0
41,fragrance,Yardley London English Rose Body Spray,SALE,550.0,450.0,437.0,150ml,,150.0
42,fragrance,Ossum Perfumed Body Mist (Delight),SALE,515.0,417.0,,115ml,,115.0
43,fragrance,Enchanteur Charming Deo spray,SALE,350.0,325.0,315.0,150ml,,150.0
44,fragrance,Al Haramain Farasha Attar,SALE,2300.0,1840.0,,12ml,,12.0
45,fragrance,Nivea Pearl And Beauty Pearl Roll On,SALE,150.0,142.5,,25ml,,25.0
46,fragrance,Fogg Body spray Women (Paradise) 120ml  COMBO Offer,COMBO,890.0,599.0,,,,
47,fragrance,Fa Invisible Power Roll On,SALE,220.0,198.0,,50ml,,50.0
48,fragrance,Grace Day Aqua Forest Mist,SALE,1250.0,1150.0,1116.0,100ml,,100.0
49,fragrance,Tom & Darin Golden Lady Natural Spray Vaporisateur Eau De Toilette,SALE,970.0,825.0,800.0,100ml,,100.0
50,fragrance,Enchanteur Perfumed Deo Roll-on Stunning,SALE,250.0,225.0,218.0,50ml,,50.0
51,fragrance,Enchanteur Perfumed Deo  Roll-On Gorgeous,SALE,250.0,220.0,213.0,50ml,,50.0
52,fragrance,Clinique Happy Perfume Spray for Women,SALE,6200.0,4449.0,4316.0,100ml,,100.0
53,fragrance,Ossum Perfumed Body Mist (Pleasure),SALE,515.0,417.0,,115ml,,115.0
54,fragrance,Lacoste Red Eau de Toilette Spray 125ml,SALE,4500.0,4250.0,4123.0,125ml,,125.0
55,fragrance,Coach New York for Women EDP Spray,SALE,7900.0,7250.0,,90ml,,90.0
56,fragrance,Carolina Herrera 212 VIP Are You On The List EDP For her,SALE,9500.0,6950.0,6742.0,125ml,,125.0
57,fragrance,Al Haramain Signature Gold Spray For Women,SALE,3850.0,3080.0,,100ml,,100.0
58,fragrance,Al Haramain Sheikh Perfume,SALE,4800.0,3840.0,,85ml,,85.0
59,fragrance,Al Haramain Sultan Attar,SALE,1200.0,960.0,,12ml,,12.0
60,fragrance,Al Haramain Faris Attar,SALE,2500.0,2000.0,,12ml,,12.0
61,fragrance,Cacharel Amor Amor Edt Spray For Women,SALE,5500.0,5250.0,5093.0,100ml,,100.0
62,fragrance,Paco Rabanne Olympea Solar,SALE,9500.0,9200.0,8924.0,80ml,,80.0
63,fragrance,Benetton Fabulous Purple Violet Body Mist,SALE,1100.0,990.0,960.0,236ml,,236.0
64,fragrance,Benetton Perfect Yellow Magnolia Body Mist,SALE,1100.0,990.0,960.0,236ml,,236.0
65,fragrance,Cacharel Amor Amor Edt Spray For Women,SALE,5500.0,5250.0,5093.0,100ml,,100.0
66,fragrance,Paco Rabanne Olympea Solar,SALE,9500.0,9200.0,8924.0,80ml,,80.0
67,fragrance,Al Haramain Signature Gold Spray For Women,SALE,3850.0,3080.0,,100ml,,100.0
68,fragrance,Al Haramain Sheikh Perfume,SALE,4800.0,3840.0,,85ml,,85.0
69,fragrance,Al Haramain Sultan Attar,SALE,1200.0,960.0,,12ml,,12.0
70,fragrance,Al Haramain Faris Attar,SALE,2500.0,2000.0,,12ml,,12.0
71,fragrance,Coach New York for Women EDP Spray,SALE,7900.0,7250.0,,90ml,,90.0
72,fragrance,Carolina Herrera 212 VIP Are You On The List EDP For her,SALE,9500.0,6950.0,6742.0,125ml,,125.0
73,fragrance,Lacoste Red Eau de Toilette Spray 125ml,SALE,4500.0,4250.0,4123.0,125ml,,125.0
74,fragrance,Al Haramain Narjis Attar,SALE,2750.0,2200.0,,15ml,,15.0
75,fragrance,Al Haramain Oyuny Attar,SALE,3100.0,2480.0,,20ml,,20.0
76,fragrance,Elizabeth Arden NYC EDP Spray,SALE,5100.0,3500.0,3395.0,75ml,,75.0
77,fragrance,Curious By Britney Spears For Women EDP Spray,SALE,3500.0,3250.0,3153.0,100ml,,100.0
78,fragrance,Ralph Lauren Polo Big Pony 2 EDT Spray Pink For Women,SALE,8500.0,6850.0,6645.0,100ml,,100.0
79,fragrance,Benetton Happy Green Iris Body Mist,SALE,1100.0,990.0,960.0,236ml,,236.0
80,fragrance,Kelyn Vintage Body Mist,nan,,335.0,325.0,120ml,,120.0
81,fragrance,Nivea Roll On Fresh Natural  & Soft Jar Berry Blossom Cream Combo (55Tk Off),COMBO,,445.0,,,,
82,fragrance,Orientica Platinum Perfume Oil,nan,,440.0,427.0,6ml,,6.0
83,fragrance,Adidas Fresh Endurance Deo Spray Women,nan,,525.0,,150ml,,150.0
84,fragrance,Adidas 6 in1 Antiperspirant Roll-On,nan,,320.0,,50ml,,50.0
85,fragrance,Carolina Herrera Good Girl Edp,nan,,1250.0,1213.0,7ml,,7.0
86,fragrance,Paco Rabanne Olympea Edp For Women,nan,,9500.0,9215.0,80ml,,80.0
87,fragrance,BUY Ossum Fragrance Body Mist Blueberry 120ml  GET 15ml Scent Sultan FREE,BUY 1 GET 1,,375.0,,,,
88,fragrance,BUY Ossum Fragrance Body Mist Frenzy 120ml  GET 15ml Scent Prince FREE,BUY 1 GET 1,,375.0,,,,
89,fragrance,Maryaj Premium Deodorant Viveca,nan,,585.0,567.0,200ml,,200.0
90,fragrance,Aris Secret Female Body Spray,nan,,390.0,378.0,200ml,,200.0
91,fragrance,SABA Ambition Body Deodorant,nan,,350.0,,150ml,,150.0
92,fragrance,SABA Playful Body Deodorant,nan,,350.0,,150ml,,150.0
93,fragrance,Colour Me Perfume Purple for Women,nan,,1950.0,1892.0,100ml,,100.0
94,fragrance,Infinite Love Perfume For Women K147,nan,,2995.0,2905.0,100ml,,100.0
95,fragrance,YC Roll On Soft Comfort,nan,,240.0,233.0,45ml,,45.0
96,fragrance,YC Roll On Cold Energy,nan,,240.0,233.0,45ml,,45.0
97,fragrance,Aris Seamless Feminine Female Body Spray,nan,,400.0,388.0,200ml,,200.0
98,fragrance,Infinite Love Perfume For Women K211,nan,,1535.0,1489.0,50ml,,50.0
99,fragrance,Farmasi Lemon Cologne Spray,nan,,900.0,,115ml,,115.0
100,fragrance,Infinite Life Body Mist Mango Temptation For Women,nan,,995.0,965.0,200ml,,200.0
101,fragrance,Flormar Body Mist Creamy Coconut,nan,,1280.0,,200ml,,200.0
102,fragrance,Creation Lamis Perfume Twenties Girl For Women,nan,,1500.0,1455.0,100ml,,100.0
103,fragrance,Chris Adams Deodorant Body Spray So Good For Women,nan,,425.0,412.0,200ml,,200.0
104,fragrance,Pierre Cardin Silk Touch Roll On,nan,,660.0,640.0,50ml,,50.0
105,fragrance,Adidas Fresh Endurance Deo Spray Women,nan,,525.0,,150ml,,150.0
106,fragrance,Adidas 6 in1 Antiperspirant Roll-On,nan,,320.0,,50ml,,50.0
107,fragrance,Carolina Herrera Good Girl Edp,nan,,1250.0,1213.0,7ml,,7.0
108,fragrance,Paco Rabanne Olympea Edp For Women,nan,,9500.0,9215.0,80ml,,80.0
109,fragrance,BUY Ossum Fragrance Body Mist Blueberry 120ml  GET 15ml Scent Sultan FREE,BUY 1 GET 1,,375.0,,,,
110,fragrance,BUY Ossum Fragrance Body Mist Frenzy 120ml  GET 15ml Scent Prince FREE,BUY 1 GET 1,,375.0,,,,
111,fragrance,Maryaj Premium Deodorant Viveca,nan,,585.0,567.0,200ml,,200.0
112,fragrance,Aris Secret Female Body Spray,nan,,390.0,378.0,200ml,,200.0
113,fragrance,SABA Ambition Body Deodorant,nan,,350.0,,150ml,,150.0
114,fragrance,SABA Playful Body Deodorant,nan,,350.0,,150ml,,150.0
115,fragrance,Colour Me Perfume Purple for Women,nan,,1950.0,1892.0,100ml,,100.0
116,fragrance,Infinite Love Perfume For Women K147,nan,,2995.0,2905.0,100ml,,100.0
117,fragrance,YC Roll On Soft Comfort,nan,,240.0,233.0,45ml,,45.0
118,fragrance,YC Roll On Cold Energy,nan,,240.0,233.0,45ml,,45.0
119,fragrance,Aris Seamless Feminine Female Body Spray,nan,,400.0,388.0,200ml,,200.0
120,fragrance,Infinite Love Perfume For Women K211,nan,,1535.0,1489.0,50ml,,50.0
121,fragrance,Farmasi Lemon Cologne Spray,nan,,900.0,,115ml,,115.0
122,fragrance,Infinite Life Body Mist Mango Temptation For Women,nan,,995.0,965.0,200ml,,200.0
