ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,hair,Skin Cafe Hair Care BOGO Offer 2 ( Skin Cafe Biotin Shampoo with Onion Extract + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY,,425.0,,,,
1,hair,Skin Cafe Hair Care BOGO Offer 1 ( Skin Cafe Banana Shampoo with Egg Protein + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY,,425.0,,,,
2,hair,Streax Insta Shampoo Hair Color Natural Black,nan,,45.0,,15ml,,15.0
3,hair,RAJKONNA HAIR REPAIR Mask,FREE DELIVERY,240.0,214.0,203.0,70gm,70.0,
4,hair,Maya True Herbs 100% Cold-Pressed Virgin & Organic Marula Oil from Africa,SALE,850.0,765.0,,30ml,,30.0
5,hair,Kumarika Hair Fall Control Hair Oil 200ml,SALE,200.0,149.0,,200ml,,200.0
6,hair,Skin Cafe Anti Dandruff Treatment,FREE DELIVERY,280.0,246.4,239.0,80gm,80.0,
7,hair,Kolombo Coconut  Oil,SALE,155.0,116.0,,200ml,,200.0
8,hair,Kolombo Coconut  Oil,SALE,85.0,63.0,,100ml,,100.0
9,hair,Kumarika Split Hair Oil,SALE,200.0,149.0,,200ml,,200.0
10,hair,Kumarika Dandruff control Hair Oil,SALE,200.0,149.0,,200ml,,200.0
11,hair,Dabur Amla Hair Oil (Get 50 ml Extra),nan,,360.0,,400ml,,400.0
12,hair,Dabur Amla Hair Oil,nan,,90.0,,100ml,,100.0
13,hair,Dabur Amla Hair Oil,nan,,35.0,,40ml,,40.0
14,hair,Dabur Vatika Enriched Coconut Hair Oil 300 ml,nan,,295.0,,300ml,,300.0
15,hair,Dabur Vatika Enriched Coconut Hair Oil 150 ml,nan,,160.0,,150ml,,150.0
16,hair,Dabur Vatika Enriched Coconut Hair Oil 75 ml,nan,,75.0,,75ml,,75.0
17,hair,Dabur Amla Hair Oil,nan,,170.0,,200ml,,200.0
18,hair,Dabur Amla Hair Oil,nan,,240.0,,300ml,,300.0
19,hair,Maya All Natural Hair & Scalp Oil,SALE,210.0,189.0,,100ml,,100.0
20,hair,Buy 1 Dabur Gold Beliphool Non-Sticky Coconut Hair Oil & Get 1 Lux Soap 75 gm,BUY 1 GET 1,,145.0,,,,
21,hair,Tresemme Shampoo Keratin Smooth,nan,,800.0,,580ml,,580.0
22,hair,Tresemme Shampoo Keratin Smooth 185ml,nan,,320.0,,185ml,,185.0
23,hair,Sunsilk Shampoo Lusciously Thick & Long 650ml,nan,,700.0,,650ml,,650.0
24,hair,Parachute Naturale Shampoo Nourishing Care,SALE,230.0,99.0,,170ml,,170.0
25,hair,Livon Serum Hair Essentials Vitamin E,SALE,125.0,87.0,,18ml,,18.0
26,hair,RIBANA Coconut Oil,SALE,400.0,370.0,359.0,200ml,,200.0
27,hair,Hawaa Hair Fall Avenger Oil,SALE,220.0,195.0,189.0,100ml,,100.0
28,hair,Skin Cafe 100% Natural Essential Oil - Rosemary,FREE DELIVERY,400.0,352.0,334.0,10ml,,10.0
29,hair,RIBANA Castor Oil,SALE,300.0,270.0,262.0,100ml,,100.0
30,hair,Rajkonna Henna Powder,FREE DELIVERY,125.0,112.0,106.0,50gm,50.0,
