ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,lips,Nirvana Color Liquid Matte Lipstick - Sweet Sin L06,SALE,450.0,401.0,389.0,5ml,,5.0
1,lips,Nirvana Color Liquid Matte Lipstick - Timeless L02,SALE,450.0,401.0,389.0,5ml,,5.0
2,lips,Nirvana Color Liquid Matte Lipstick - Sweet Raisin L05,SALE,450.0,401.0,389.0,5ml,,5.0
3,lips,Nirvana Color Liquid Matte Lipstick - Infatuated L03,SALE,450.0,401.0,389.0,5ml,,5.0
4,lips,Nirvana Color Liquid Matte Lipstick - Love Me L04,SALE,450.0,401.0,381.0,5ml,,5.0
5,lips,Flormar Stylematic Lipliner Coconude SL11,nan,,700.0,,0.35gm,0.35,
6,lips,wet n wild MegaLast Liquid Catsuit Matte Lipstick - Give Me Mocha,SALE,650.0,499.0,,6gm,6.0,
7,lips,Vaseline Lip Therapy - Cocoa Butter,SALE,250.0,199.0,193.0,20gm,20.0,
8,lips,Nivea Caring Lip Balm Soft Rose,SALE,290.0,145.0,,4.8gm,4.8,
9,lips,Groome Glow Lip Balm With SPF 15 - Sweet Sunrise,SALE,220.0,191.0,185.0,30gm,30.0,
10,lips,Vaseline Lip Therapy - Aloe Vera,SALE,250.0,139.0,,20gm,20.0,
11,lips,Maybelline Baby Lips Color SPF11 Lip Balm Cherry Kiss,SALE,425.0,349.0,339.0,4gm,4.0,
12,lips,Lilac Premium Lip Balm - Aloevera with SPF15,FREE DELIVERY,200.0,178.0,173.0,30gm,30.0,
13,lips,Shajgoj Luxury Makeup Bag,SALE,850.0,350.0,,,,
14,lips,Nirvana Color Matte Bullet Lipstick - Dusky Wine B03,SALE,350.0,312.0,303.0,5gm,5.0,
15,lips,Amlaki Lip Scrub,SALE,100.0,85.0,82.0,30gm,30.0,
16,lips,Nirvana Color Matte Bullet Lipstick - Berry Lips  B01,SALE,350.0,312.0,303.0,5gm,5.0,
17,lips,Absolute New York Demi Matte Supreme Slim Lipstick Desert Iris MLSS52,SALE,650.0,520.0,504.0,1.3gm,1.3,
18,lips,Focallure Waterproof Matte Liquid Lipstick 13 Wine (Fa24),SALE,300.0,255.0,247.0,6gm,6.0,
19,lips,Focallure Waterproof Matte Liquid Lipstick 04 French Beige (Fa24),SALE,300.0,270.0,262.0,6gm,6.0,
20,lips,Focallure Ultralight Matte Liquid Lipstick Nu03 (Fa425),SALE,500.0,425.0,412.0,6gm,6.0,
21,lips,Nirvana Color Lip Crayons - Bonolota,SALE,500.0,445.0,432.0,4gm,4.0,
22,lips,Nirvana Color Lip Crayons - Joyeeta,SALE,500.0,445.0,432.0,4gm,4.0,
23,lips,Nirvana Color Matte Bullet Lipstick - Bride Red B06,SALE,350.0,312.0,303.0,5gm,5.0,
24,lips,Absolute New York Demi Matte Supreme Slim Lipstick Desert Iris MLSS52,SALE,650.0,520.0,504.0,1.3gm,1.3,
25,lips,Focallure Waterproof Matte Liquid Lipstick 13 Wine (Fa24),SALE,300.0,255.0,247.0,6gm,6.0,
26,lips,Focallure Waterproof Matte Liquid Lipstick 04 French Beige (Fa24),SALE,300.0,270.0,262.0,6gm,6.0,
27,lips,Focallure Ultralight Matte Liquid Lipstick Nu03 (Fa425),SALE,500.0,425.0,412.0,6gm,6.0,
28,lips,Focallure Ultralight Matte Liquid Lipstick Bb04 (Fa425),SALE,500.0,425.0,412.0,6gm,6.0,
29,lips,Focallure Air Fit Matte Liquid Lip Tint 301 (Fa417),SALE,440.0,395.0,383.0,2.2gm,2.2,
30,lips,unpa Bubi Bubi Bubble Lip Scrub,SALE,1280.0,1050.0,1019.0,10ml,,10.0
31,lips,unpa Everyday Vegan Lip Balm,SALE,1050.0,880.0,854.0,3.8gm,3.8,
32,lips,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 40 Believer,SALE,1350.0,1195.0,1159.0,5ml,,5.0
33,lips,Maybelline New York Super Stay Vinyl Ink Liquid Lipstick - 15 Peachy,SALE,1550.0,1195.0,1159.0,4.2ml,,4.2
34,lips,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 02,SALE,450.0,399.0,387.0,2.8gm,2.8,
35,lips,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 04,SALE,450.0,399.0,387.0,2.8gm,2.8,
36,lips,Maybelline New York Super Stay Matte Ink Liquid Lipstick - Iconic Ruler,SALE,1350.0,1195.0,1159.0,5ml,,5.0
37,lips,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 10 Dreamer,SALE,1350.0,1195.0,1159.0,5ml,,5.0
38,lips,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 60 Poet,SALE,1350.0,1195.0,1159.0,5ml,,5.0
39,lips,The Body Shop Born Lippy Pot Lip Balm - Watermelon,SALE,550.0,450.0,437.0,8.9gm,8.9,
40,lips,Colormax Satin Glide Long Lasting Lip Liner Pencil - 02 Barbie Girl,SALE,375.0,320.0,310.0,,,
41,lips,Focallure Creamy Matte Liquid Lipstick Rd01 (Fa425),SALE,500.0,425.0,412.0,2.8gm,2.8,
42,lips,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 07,SALE,450.0,399.0,387.0,2.8gm,2.8,
43,lips,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 08,SALE,450.0,399.0,387.0,2.8gm,2.8,
44,lips,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 09,SALE,450.0,399.0,387.0,2.8gm,2.8,
