ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,makeup-kits,Omuda Fashional Large Nail Clipper,nan,,230.0,223.0,,,
1,makeup-kits,Technic Strobe n Slay Makeup Collection Gift Set,SOLD OUT,,675.0,655.0,,,
2,makeup-kits,Technic Jewellery Cosmetic Case,SOLD OUT,,3850.0,3735.0,925gm,925.0,
3,makeup-kits,Omuda Fashional Medium Nail Clipper,SOLD OUT,,160.0,155.0,,,
4,makeup-kits,5 in 1 Groome Facial Cleansing Brush,SOLD OUT,,500.0,485.0,170gm,170.0,
5,makeup-kits,Keli Travel Container 06 pcs(Pink),SOLD OUT,,380.0,369.0,,,
6,makeup-kits,Keli Travel Container 10 pcs,SOLD OUT,,650.0,631.0,,,
7,makeup-kits,Technic All About That Face Makeup Kit,SOLD OUT,,1350.0,1310.0,,,
8,makeup-kits,Keli Travel Container 06 pcs(Blue),SOLD OUT,,380.0,369.0,,,
9,makeup-kits,Omuda Stainless Steel Nail Clipper 1pcs,SOLD OUT,,250.0,243.0,,,
10,makeup-kits,Groome Facial Mixing Bowl Pink,SOLD OUT,,280.0,272.0,,,
11,makeup-kits,Ultrasonic Facial  Massager System HKY801  7 in 1,SOLD OUT,,1400.0,1358.0,,,
12,makeup-kits,Gallop Pedicure Set - 3 Steps,SOLD OUT,,400.0,388.0,,,
13,makeup-kits,Keli Travel Container 05 pcs,SOLD OUT,,370.0,359.0,,,
