ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,makeup,Nirvana Color Liquid Matte Lipstick - Sweet Sin L06,SALE,450.0,401.0,389.0,5ml,,5.0
1,makeup,Nirvana Color Liquid Matte Lipstick - Timeless L02,SALE,450.0,401.0,389.0,5ml,,5.0
2,makeup,Nirvana Color Liquid Matte Lipstick - Sweet Raisin L05,SALE,450.0,401.0,389.0,5ml,,5.0
3,makeup,Nirvana Color Liquid Matte Lipstick - Infatuated L03,SALE,450.0,401.0,389.0,5ml,,5.0
4,makeup,Nirvana Color Liquid Matte Lipstick - Love Me L04,SALE,450.0,401.0,381.0,5ml,,5.0
5,makeup,Flormar Stylematic Lipliner Coconude SL11,nan,,700.0,,0.35gm,0.35,
6,makeup,Nirvana Color Eye Shadow Palette – You Go Girl,FREE DELIVERY,650.0,325.0,,15gm,15.0,
7,makeup,Garnier Skin Active Micellar Cleansing Water,SALE,550.0,449.0,,100ml,,100.0
8,makeup,Vaseline Lip Therapy - Cocoa Butter,SALE,250.0,199.0,193.0,20gm,20.0,
9,makeup,wet n wild MegaLast Liquid Catsuit Matte Lipstick - Give Me Mocha,SALE,650.0,499.0,,6gm,6.0,
10,makeup,Ponds perfect radiance bb translucent powder,SALE,350.0,300.0,,50gm,50.0,
11,makeup,Groome Personal Care Cotton Pad - 80pcs,FREE DELIVERY,245.0,213.0,207.0,,,
12,makeup,Rajkonna All Purpose Toner,FREE DELIVERY,240.0,214.0,203.0,120ml,,120.0
13,makeup,Technic Mega Lash Water Resistant Mascara,SALE,350.0,299.0,290.0,12ml,,12.0
14,makeup,Nivea Caring Lip Balm Soft Rose,SALE,290.0,145.0,,4.8gm,4.8,
15,makeup,Professional Personal Cotton Pads 100pcs,SALE,250.0,218.0,211.0,,,
16,makeup,w7 Banana Dreams Loose Powder,SALE,650.0,449.0,,20gm,20.0,
17,makeup,Groome Glow Lip Balm With SPF 15 - Sweet Sunrise,SALE,220.0,191.0,185.0,30gm,30.0,
18,makeup,Skin Cafe Floral Hydrating Toner,FREE DELIVERY,295.0,259.6,252.0,110ml,,110.0
19,makeup,W7 Liquid Eyeliner Pot,SALE,300.0,249.0,242.0,8gm,8.0,
20,makeup,Skin Cafe Makeup Cleansing Oil Advanced,FREE DELIVERY,550.0,484.0,469.0,120ml,,120.0
21,makeup,W7 Liquid Eyeliner Pot,SALE,300.0,249.0,242.0,8gm,8.0,
22,makeup,Nirvana Color Mattifying and Poreless Pressed Powder (Light Beige),SALE,580.0,517.0,501.0,15gm,15.0,
23,makeup,Groome Make Up Brush set ( Bamboo),FREE DELIVERY,480.0,418.0,397.0,150gm,150.0,
24,makeup,Groome makeup cleansing sponge- Pink,SALE,150.0,131.0,127.0,,,
25,makeup,Maybelline Baby Lips Color SPF11 Lip Balm Cherry Kiss,SALE,425.0,349.0,339.0,4gm,4.0,
26,makeup,Nirvana Color Mattifying and Poreless Pressed Powder (Light Natural),SALE,580.0,517.0,501.0,15gm,15.0,
27,makeup,Lucy Oliva Olive Oil,SALE,250.0,220.0,,100ml,,100.0
28,makeup,Nirvana Color Nail Enamel - Naughty Hand-07,SALE,180.0,161.0,156.0,8ml,,8.0
29,makeup,Lilac Premium Lip Balm - Aloevera with SPF15,FREE DELIVERY,200.0,178.0,173.0,30gm,30.0,
30,makeup,Miss & Mrs Ultrafine Dipliner Eye Liner,SALE,450.0,399.0,387.0,4.5ml,,4.5
31,makeup,Lucy Oliva Olive Oil,SALE,380.0,330.0,,150ml,,150.0
32,makeup,Essence i love extreme crazy volume mascara,SALE,750.0,625.0,606.0,12ml,,12.0
33,makeup,Groome Beauty Blender Sponge (Yellow),SALE,180.0,157.0,149.0,,,
34,makeup,Shajgoj Luxury Makeup Bag,SALE,850.0,350.0,,,,
35,makeup,Maybelline Colossal Kohl Kajal 24H Black,SALE,450.0,350.0,333.0,0.35gm,0.35,
36,makeup,Nirvana Color Matte Bullet Lipstick - Berry Lips  B01,SALE,350.0,312.0,303.0,5gm,5.0,
37,makeup,W7 The Matte Fixer Setting Spray,SALE,620.0,545.0,529.0,60ml,,60.0
38,makeup,Ponds Face Powder Angle Face Pinkish White Glow,SALE,350.0,340.0,,50gm,50.0,
39,makeup,Lakme Insta-Liner Water Resistant Eyeliner,SALE,295.0,285.0,,9ml,,9.0
40,makeup,White Tone Face Powder,SALE,160.0,129.0,,30gm,30.0,
41,makeup,Skin Cafe Micellar Water,FREE DELIVERY,350.0,308.0,299.0,120ml,,120.0
42,makeup,Ponds Face Powder Angle Face Pinkish White Glow,SALE,350.0,340.0,,50gm,50.0,
43,makeup,Lakme Insta-Liner Water Resistant Eyeliner,SALE,295.0,285.0,,9ml,,9.0
44,makeup,White Tone Face Powder,SALE,160.0,129.0,,30gm,30.0,
45,makeup,Miss & Mrs Nina 5 Colors Cheek Glow Looks - 02,SALE,470.0,410.0,398.0,12.5gm,12.5,
46,makeup,W7 HD Concealer - Light warm LW5,SALE,450.0,375.0,364.0,14ml,,14.0
47,makeup,W7 HD Concealer - Fair Neutral FN2,SALE,450.0,405.0,393.0,14ml,,14.0
48,makeup,W7 HD Concealer  - Fair Cool FC1,SALE,450.0,375.0,364.0,14ml,,14.0
49,makeup,Miss & Mrs Nina Velvety Matte Lipstick Dark lily 14,SALE,350.0,305.0,296.0,2.8gm,2.8,
50,makeup,Alix Avien Blusher Brush,SALE,1350.0,1015.0,,,,
51,makeup,Alix Avien Liquid Concealer 02,SALE,900.0,675.0,,3.5ml,,3.5
52,makeup,Alix Avien Luminous Face Primer,SALE,1500.0,1125.0,,45ml,,45.0
53,makeup,Absolute New York Waterproof Gel Eye Liner White Kajal - NFB91,SALE,750.0,600.0,582.0,1.1gm,1.1,
54,makeup,Absolute New York Supreme Slim Demi Matte Lipstick-Night Shade MLSS60,SALE,650.0,520.0,504.0,1.3gm,1.3,
55,makeup,Miss & Mrs Nina 5 Colors Eyeshadow Glow Looks - 01,SALE,470.0,410.0,398.0,12.5gm,12.5,
56,makeup,Absolute New York HD Flawless Foundation-Beige AHDF03,SALE,1250.0,1025.0,994.0,28ml,,28.0
57,makeup,Absolute New York HD Flawless Powder Foundation-Porcelain HDPF01,SALE,1250.0,1025.0,994.0,8gm,8.0,
58,makeup,Technic Pro Pigment Loose Eye Shadow Powder - Blue'd Up,SALE,395.0,325.0,315.0,2gm,2.0,
59,makeup,Groome makeup cleansing sponge- Snow White,SALE,150.0,131.0,124.0,,,
60,makeup,Maybelline Fit me Liquid Foundation 230 Natural Buff,SALE,950.0,795.0,771.0,18ml,,18.0
61,makeup,Bioderma Sensibio H2O,SALE,2450.0,2350.0,,500ml,,500.0
62,makeup,RIBANA Make-up Remover Soap,SALE,500.0,440.0,427.0,95gm,95.0,
63,makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 95 Visionary,SALE,1350.0,1195.0,1159.0,5ml,,5.0
64,makeup,LMLTOP Eyebrow And Facial Razor (Pack Of 3 Pcs),SALE,275.0,225.0,218.0,,,
65,makeup,Nirvana Color No Smudge Retractable Eyeliner - Coal Black,SALE,320.0,285.0,276.0,3.5gm,3.5,
66,makeup,Organikaon Jojoba Oil,SALE,820.0,680.0,660.0,100ml,,100.0
67,makeup,Nirvana Color Face Perfect Pro Primer,SALE,550.0,490.0,475.0,20ml,,20.0
68,makeup,Focallure Blurmax Oil Control Gel Primer (Fa138),SALE,450.0,405.0,393.0,25gm,25.0,
69,makeup,Focallure Air Fit Matte Liquid Lip Tint 001 (Fa417),SALE,440.0,395.0,383.0,2.2gm,2.2,
70,makeup,Absolute New York Matte Made In Heaven Liquid Lipstick & Liner Duo-Fever MLIH04,SALE,750.0,600.0,582.0,4.2gm,4.2,
71,makeup,Absolute New York HD Flawless Fluid Foundation-Caramel AHDF06,SALE,1250.0,1000.0,970.0,28ml,,28.0
72,makeup,Alix Avien Anti Aging Foundation 502,SALE,2200.0,1650.0,,11gm,11.0,
73,makeup,Cerave Hydrating Micellar Water,SALE,2950.0,2250.0,2183.0,296ml,,296.0
74,makeup,Disney Frozen Lip Smacker Tin Pack - 6pcs,SALE,950.0,850.0,825.0,,,
75,makeup,Focallure Staymax Pore Blurring Matte Flowless Foundation 04 Beige (Fa150),SALE,460.0,415.0,394.0,30gm,30.0,
76,makeup,Focallure Staymax Pore Blurring Matte Flowless Foundation 01 Pearl (Fa150),SALE,460.0,415.0,403.0,30gm,30.0,
77,makeup,Focallure Matchmax Baking & Setting Loose Powder 02 Ivory (Fa154),SALE,650.0,585.0,567.0,15gm,15.0,
78,makeup,Focallure Latex Free Sponge Beauty Blender Microfiber Velvet (Fa136) 1 Piece,SALE,300.0,270.0,262.0,10gm,10.0,
79,makeup,Focallure Flawless Longwear Foundation 201 Natural Ivory (Fa256),SALE,700.0,625.0,606.0,20gm,20.0,
80,makeup,Focallure Creamy Matte Liquid Lipstick Rd01 (Fa425),SALE,500.0,425.0,412.0,2.8gm,2.8,
81,makeup,Focallure Collagen Crystal Moisturizing Lip Mask (Fa Sc01),SALE,90.0,55.0,53.0,8gm,8.0,
82,makeup,Focallure Brow Styling Soap (Fa182),SALE,350.0,315.0,306.0,10gm,10.0,
83,makeup,Maybelline Super Stay Active Wear 30h Foundation 30 Sand 30ml,SALE,1400.0,1150.0,1116.0,30ml,,30.0
84,makeup,Maybelline Super Stay Active Wear 30h Foundation 10 Ivory 30ml,SALE,1400.0,1150.0,1116.0,30ml,,30.0
85,makeup,Focallure Latex Free Sponge Beauty Blender Waterdrop (Fa136),SALE,300.0,180.0,175.0,,,
86,makeup,Focallure Color Correcting Anti Redness Primer (Fa166),SALE,600.0,510.0,495.0,25gm,25.0,
87,makeup,Focallure Waterproof Matte Liquid Lipstick 12 Rose Valet (Fa24),SALE,300.0,270.0,262.0,6gm,6.0,
88,makeup,Focallure Waterproof Matte Liquid Lipstick 03 Burnt Umber (Fa24),SALE,300.0,270.0,262.0,6gm,6.0,
89,makeup,Focallure Ultralight Matte Liquid Lipstick Or02 (Fa425),SALE,500.0,425.0,412.0,6gm,6.0,
90,makeup,Focallure Ultralight Matte Liquid Lipstick Nu02 (Fa425),SALE,500.0,425.0,404.0,6gm,6.0,
91,makeup,Focallure Ultralight Matte Liquid Lipstick Bb01 (Fa425),SALE,500.0,425.0,412.0,6gm,6.0,
92,makeup,Technic Faux Silk Lashes - ChaCha,SALE,400.0,350.0,340.0,,,
93,makeup,Maybelline Baby Lips Color SPF11 Lip Balm Pink Lolita,SALE,425.0,395.0,383.0,4gm,4.0,
94,makeup,Nirvana Color Lip Crayons- Charulata C06,SALE,500.0,445.0,432.0,4gm,4.0,
95,makeup,Nirvana Color Lip Crayons- Roopa C02,SALE,500.0,445.0,432.0,4gm,4.0,
96,makeup,Nirvana Color Lip Crayons - Labonno,SALE,500.0,445.0,423.0,4gm,4.0,
97,makeup,Pond's White Beauty InstaBright Tone Up Milk Powder,SALE,350.0,299.0,290.0,40gm,40.0,
98,makeup,Nirvana Color Nail Enamel - Mermaid Tail - 26,SALE,180.0,161.0,156.0,8ml,,8.0
99,makeup,Nirvana Color Nail Enamel - Flower Mood - 28,SALE,180.0,161.0,156.0,8ml,,8.0
100,makeup,Nirvana Color Nail Enamel - Pastel Bloom - 29,SALE,180.0,161.0,156.0,8ml,,8.0
101,makeup,Nirvana Color Nail Enamel - Ballet Slippers - 31,SALE,180.0,161.0,156.0,8ml,,8.0
102,makeup,Nirvana Color Nail Enamel - Femme Fatale - 36,SALE,180.0,161.0,156.0,8ml,,8.0
103,makeup,Nirvana Color Nail Enamel - Spiced Latte - 37,SALE,180.0,161.0,156.0,8ml,,8.0
104,makeup,Nirvana Color Face Perfect Liquid Foundation - Light Beige F02,SALE,750.0,668.0,648.0,30ml,,30.0
105,makeup,Focallure Matchmax Baking & Setting Loose Powder 04 Warm Beige (Fa154),SALE,650.0,585.0,556.0,15gm,15.0,
106,makeup,Focallure Makeup Setting Spray (Fa96),SALE,900.0,800.0,,100ml,,100.0
107,makeup,Focallure Liquid Waterproof Eyeliner Pen (Fa13),SALE,400.0,240.0,233.0,3gm,3.0,
108,makeup,Focallure Flawless Longwear Foundation 202 Natural Beige (Fa256),SALE,700.0,625.0,606.0,20gm,20.0,
109,makeup,Focallure Flawless Long Lasting Setting spray (Fa352),SALE,720.0,650.0,631.0,65ml,,65.0
110,makeup,Focallure Face Highlighter & Contour 01 Sliver (Fa01),SALE,350.0,315.0,306.0,6gm,6.0,
111,makeup,Focallure Brow Styling Soap With Knife (Fa182),SALE,400.0,360.0,349.0,10gm,10.0,
112,makeup,Absolute New York HD Flawless Fluid Foundation Tan AHDF04,SALE,1250.0,1025.0,994.0,28ml,,28.0
113,makeup,Focallure Air Fit Matte Liquid Lip Tint 301 (Fa417),SALE,440.0,395.0,383.0,2.2gm,2.2,
114,makeup,Absolute New York HD Powder Foundation–Pearl–HDPF02,SALE,1250.0,1025.0,994.0,8gm,8.0,
115,makeup,Nirvana Color Nail Enamel - Olive You - 34,SALE,180.0,161.0,156.0,8ml,,8.0
116,makeup,Nirvana Color Nail Enamel - Black Swan - 38,SALE,180.0,161.0,156.0,8ml,,8.0
117,makeup,unpa Bubi Bubi Bubble Lip Scrub,SALE,1280.0,1050.0,1019.0,10ml,,10.0
118,makeup,unpa Everyday Vegan Lip Balm,SALE,1050.0,880.0,854.0,3.8gm,3.8,
119,makeup,Ilana Makeup spatula,SALE,600.0,450.0,,,,
120,makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 40 Believer,SALE,1350.0,1195.0,1159.0,5ml,,5.0
121,makeup,Maybelline New York Super Stay Vinyl Ink Liquid Lipstick - 15 Peachy,SALE,1550.0,1195.0,1159.0,4.2ml,,4.2
122,makeup,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 02,SALE,450.0,399.0,387.0,2.8gm,2.8,
123,makeup,Miss & Mrs. Nina Flat Matte 2 in 1 Lip Color 04,SALE,450.0,399.0,387.0,2.8gm,2.8,
124,makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick - Iconic Ruler,SALE,1350.0,1195.0,1159.0,5ml,,5.0
125,makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 10 Dreamer,SALE,1350.0,1195.0,1159.0,5ml,,5.0
126,makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 60 Poet,SALE,1350.0,1195.0,1159.0,5ml,,5.0
127,makeup,Absolute New York HD Flawless Foundation Sand AHDF02,SALE,1250.0,1025.0,994.0,28ml,,28.0
128,makeup,Technic Intoxicate Mascara,SALE,520.0,415.0,403.0,8ml,,8.0
129,makeup,Absolute New York Click Cover Concealer MFCC 04- MEDIUM OLIVE UNDERTONE,SALE,650.0,520.0,504.0,28gm,28.0,
130,makeup,Boots cucumber cleansing lotion Sweep the night away 150ml,SALE,550.0,495.0,480.0,150ml,,150.0
131,makeup,Revlon Color Silk Beautiful Color Dark Golden Brown 37,SALE,650.0,550.0,,59.1ml,,59.1
132,makeup,PRESTIGE Athena Beaute 100 Cotton Wool Balls,SALE,325.0,225.0,218.0,,,
133,makeup,The Body Shop Born Lippy Pot Lip Balm - Watermelon,SALE,550.0,450.0,437.0,8.9gm,8.9,
134,makeup,Revlon Colorsilk Hair Color Black 10,SALE,650.0,550.0,,59.1ml,,59.1
135,makeup,Revlon Colorsilk Hair Color Lightest Golden Brown 57,SALE,650.0,550.0,,59.1ml,,59.1
136,makeup,Xpel TEA TREE facial Cleansing Wipes,SALE,450.0,350.0,340.0,,,
137,makeup,PRESTIGE Athena Beaute Cotton Wool Cosmetic Pads,SALE,275.0,245.0,238.0,,,
138,makeup,Colormax Satin Glide Long Lasting Lip Liner Pencil - 02 Barbie Girl,SALE,375.0,320.0,310.0,,,
139,makeup,Focallure Professional Fluffy White Double Head Makeup Brush (Single),SALE,200.0,170.0,162.0,,,
140,makeup,Disney Frozen Lip Smacker Tin Pack - 6pcs,SALE,950.0,850.0,825.0,,,
141,makeup,Technic Faux Silk Lashes - ChaCha,SALE,400.0,350.0,340.0,,,
142,makeup,Nirvana Color Face Perfect Liquid Foundation - Light Beige F02,SALE,750.0,668.0,648.0,30ml,,30.0
143,makeup,Nirvana Color Lip Crayons- Charulata C06,SALE,500.0,445.0,432.0,4gm,4.0,
144,makeup,Nirvana Color Lip Crayons- Roopa C02,SALE,500.0,445.0,432.0,4gm,4.0,
145,makeup,Nirvana Color Lip Crayons - Labonno,SALE,500.0,445.0,423.0,4gm,4.0,
146,makeup,Nirvana Color Matte Bullet Lipstick - Brick Brown B05,SALE,350.0,312.0,303.0,5gm,5.0,
147,makeup,Maybelline Baby Lips Color SPF11 Lip Balm Pink Lolita,SALE,425.0,395.0,383.0,4gm,4.0,
148,makeup,Alix Avien Paris Lip Gloss 04 Peachy Rose,SALE,850.0,640.0,,3ml,,3.0
149,makeup,Nirvana Color No Smudge Retractable Eyeliner - Coal Black,SALE,320.0,285.0,276.0,3.5gm,3.5,
150,makeup,Organikaon Jojoba Oil,SALE,820.0,680.0,660.0,100ml,,100.0
151,makeup,Nirvana Color Face Perfect Pro Primer,SALE,550.0,490.0,475.0,20ml,,20.0
152,makeup,Nirvana Color Nail Enamel - Mermaid Tail - 26,SALE,180.0,161.0,156.0,8ml,,8.0
153,makeup,Nirvana Color Nail Enamel - Flower Mood - 28,SALE,180.0,161.0,156.0,8ml,,8.0
154,makeup,Nirvana Color Nail Enamel - Pastel Bloom - 29,SALE,180.0,161.0,156.0,8ml,,8.0
155,makeup,Nirvana Color Nail Enamel - Ballet Slippers - 31,SALE,180.0,161.0,156.0,8ml,,8.0
156,makeup,Nirvana Color Nail Enamel - Femme Fatale - 36,SALE,180.0,161.0,156.0,8ml,,8.0
157,makeup,Nirvana Color Nail Enamel - Spiced Latte - 37,SALE,180.0,161.0,156.0,8ml,,8.0
158,makeup,Nirvana Color Waterproof Liquid Eyeliner Deep Black,SALE,350.0,312.0,303.0,3ml,,3.0
159,makeup,Athena 100 Cotton Wool Balls,SALE,250.0,220.0,213.0,,,
160,makeup,Revlon Colorsilk Hair Color Deep Burgundy 34,SALE,650.0,550.0,,59.1ml,,59.1
161,makeup,Cerave Hydrating Micellar Water,SALE,2950.0,2250.0,2183.0,296ml,,296.0
162,makeup,Maybelline Fit Me Matte +Poreless Liquid Foundation - 126,SALE,1250.0,950.0,922.0,30ml,,30.0
163,makeup,Maybelline Fit Me Matte +Poreless Liquid Foundation - 127,SALE,1250.0,950.0,922.0,30ml,,30.0
164,makeup,Maybelline Super Stay Active Wear 30h Foundation 30 Sand 30ml,SALE,1400.0,1150.0,1116.0,30ml,,30.0
165,makeup,Maybelline Super Stay Active Wear 30h Foundation 10 Ivory 30ml,SALE,1400.0,1150.0,1116.0,30ml,,30.0
166,makeup,Focallure Blurmax Oil Control Gel Primer (Fa138),SALE,450.0,405.0,393.0,25gm,25.0,
167,makeup,Focallure Air Fit Matte Liquid Lip Tint 001 (Fa417),SALE,440.0,395.0,383.0,2.2gm,2.2,
168,makeup,Focallure Waterproof Matte Liquid Lipstick 01 Coquelicot (Fa24),SALE,300.0,270.0,262.0,6gm,6.0,
169,makeup,Focallure Waterproof Auto Brows Pen 03 Black (Fa18),SALE,350.0,300.0,291.0,0.25gm,0.25,
170,makeup,Focallure Waterproof Auto Brows Pen 01 Dark Gray (Fa18),SALE,350.0,300.0,291.0,0.25gm,0.25,
171,makeup,Focallure Uptown Girls Eyeshadow Palette 03 Sunflower At Sunset (Fa158),SALE,650.0,390.0,,10gm,10.0,
172,makeup,Focallure Uptown Girls Eyeshadow Palette 02 Sakura In Dream (Fa158),SALE,650.0,390.0,,10gm,10.0,
173,makeup,Focallure Ultralight Matte Liquid Lipstick Bb02 (Fa425),SALE,500.0,425.0,404.0,6gm,6.0,
174,makeup,Focallure All In One Concealer Palette (Fa299),SALE,600.0,540.0,513.0,1.3gm,1.3,
175,makeup,Focallure Air Fit Matte Liquid Lip Tint 202 (Fa417),SALE,440.0,395.0,383.0,2.2gm,2.2,
176,makeup,Absolute New York Prolong Setting Spray,SALE,1170.0,995.0,945.0,50ml,,50.0
177,makeup,Absolute New York HD Powder Foundation–Pearl–HDPF04,SALE,1250.0,1025.0,994.0,8gm,8.0,
178,makeup,Focallure Staymax Waterproof Volumizing Mascara (Fa148),SALE,440.0,395.0,383.0,4.5gm,4.5,
179,makeup,Focallure Staymax Pore Blurring Matte Flowless Foundation 03 Cream (Fa150),SALE,460.0,415.0,403.0,30gm,30.0,
180,makeup,Focallure Matchmax Baking & Setting Loose Powder 03 Natrual Beige (Fa154),SALE,650.0,585.0,567.0,15gm,15.0,
181,makeup,Focallure Matchmax Baking & Setting Loose Powder 01 Clear (Fa154),SALE,650.0,585.0,567.0,15gm,15.0,
182,makeup,Focallure Latex Free Sponge Beauty Blender One Cut Heart Shape (Fa136),SALE,300.0,265.0,257.0,10gm,10.0,
183,makeup,Focallure Hangover Red Wine Blusher B01 Tequila (Fa89),SALE,460.0,415.0,403.0,5gm,5.0,
184,makeup,Focallure Full Coverage Liquid Concealer 04 Medium (Fa52),SALE,400.0,360.0,349.0,2.9gm,2.9,
185,makeup,Focallure Full Coverage Liquid Concealer 01 Natural (Fa52),SALE,400.0,360.0,349.0,2.9gm,2.9,
186,makeup,Focallure Face Highlighter & Contour 02 Golden (Fa01),SALE,350.0,315.0,306.0,6gm,6.0,
187,makeup,Focallure Creamy Matte Liquid Lipstick Pk01 (Fa425),SALE,500.0,425.0,412.0,2.8gm,2.8,
188,makeup,Maybelline Fit Me Matte + Poreless Mattifying Face Primer,SALE,950.0,850.0,825.0,30ml,,30.0
189,makeup,Kissera Luxury Collagen BB Cream,SALE,1400.0,1350.0,1310.0,50ml,,50.0
190,makeup,L'Oreal Paris Kajal Magique Bold,SALE,850.0,645.0,626.0,0.35gm,0.35,
191,makeup,L'Oreal White Perfect Deep-Cleansing & Brightening With Rice Care,SALE,950.0,799.0,775.0,100ml,,100.0
192,makeup,Loreal Paris Pro-Matte Liquid Lipstick - 372 Patel Potion,SALE,1250.0,1050.0,1019.0,6.3ml,,6.3
193,makeup,Maybelline New York Super Stay Matte Ink Liquid Lipstick - 05 Loyalist,SALE,1350.0,1195.0,1159.0,5ml,,5.0
