ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,men,Beardo GodFather Perfume,SALE,1899.0,1519.0,,100ml,,100.0
1,men,Himalaya Men Pimple Clear Neem Facewash,SALE,225.0,195.0,,100ml,,100.0
2,men,Tresemme Shampoo Keratin Smooth,nan,,800.0,,580ml,,580.0
3,men,Brut Original Deodorant Paris,SALE,550.0,450.0,437.0,200ml,,200.0
4,men,Denim Black After Shave,SALE,650.0,550.0,534.0,100ml,,100.0
5,men,Fogg Body Spray Blue (Forest),SALE,490.0,372.0,,120ml,,120.0
6,men,Fogg Black Men Body Spray (Woody),SALE,475.0,375.0,,120ml,,120.0
7,men,Fogg Black Men Body Spray (Aqua),SALE,475.0,361.0,,120ml,,120.0
8,men,Fogg Black Men Body spray (Aromatic),SALE,475.0,375.0,,120ml,,120.0
9,men,Fogg Rock Star Elite,SALE,1220.0,963.0,,100ml,,100.0
10,men,Fogg Scent Men Impressio,SALE,900.0,729.0,,100ml,,100.0
11,men,Fogg Scent Men Xpressio,SALE,900.0,729.0,,100ml,,100.0
12,men,Fogg Body Spray Blue (Spring),SALE,490.0,387.0,,120ml,,120.0
13,men,Fogg Black Men Body Spray (Fougere),SALE,475.0,375.0,,120ml,,120.0
14,men,Fogg Black Men Body Spray (Oriental),SALE,475.0,375.0,,120ml,,120.0
15,men,Fogg Rock Star Fame,SALE,1220.0,902.0,,100ml,,100.0
16,men,Fogg Scent Men Intensio,SALE,900.0,729.0,,100ml,,100.0
17,men,Fogg Scent Men Xtremo,SALE,900.0,729.0,,100ml,,100.0
18,men,Fogg Body Spray Napoleon,SALE,445.0,360.0,,120ml,,120.0
19,men,"Aveeno Positively Smooth Shave Gel With Soy,Aloe & Vitamin E",SALE,1650.0,1450.0,1407.0,198gm,198.0,
20,men,Fogg Black Men Body Spray (Spicy),SALE,475.0,375.0,,120ml,,120.0
21,men,Fogg Scent Tuxedo,SALE,705.0,556.0,,50ml,,50.0
22,men,Fogg Scent Explore,SALE,705.0,571.0,,50ml,,50.0
23,men,Fogg Body Spray Monarch,SALE,445.0,329.0,,120ml,,120.0
24,men,Fogg Body Spray Royal,SALE,445.0,338.0,,120ml,,120.0
25,men,Fogg Body Spray Marco,SALE,445.0,351.0,,120ml,,120.0
26,men,Jagler Men Deodorant  Storm,nan,,425.0,412.0,150ml,,150.0
27,men,Jagler Men Deodorant Sport,nan,,425.0,412.0,150ml,,150.0
28,men,Fogg Rock Star Icon,nan,,1220.0,,100ml,,100.0
29,men,Fogg Rock Star Dazzle,nan,,1220.0,,100ml,,100.0
30,men,Missha All Around Safe Block Soft Finish Sun Milk SPF50+ Or PA+++,FREE DELIVERY,1650.0,1299.0,,70ml,,70.0
31,men,Parachute Naturale Shampoo Nourishing Care,SALE,230.0,99.0,,170ml,,170.0
32,men,RIBANA Coconut Oil,SALE,400.0,370.0,359.0,200ml,,200.0
33,men,NIVEA MEN Dark Spot Reduction Creme,SALE,180.0,145.0,,30ml,,30.0
34,men,Skin Cafe Coconut Oil,FREE DELIVERY,250.0,220.0,213.0,100ml,,100.0
35,men,Skin Cafe Castor Oil (Cold Pressed),FREE DELIVERY,550.0,490.0,475.0,120ml,,120.0
36,men,Gillette Proglide Men's Grooming Razor with Flexball Technology - Adapts to Facial Contours (1 pc),SALE,1250.0,1213.0,,,,
37,men,NIVEA MEN Shower Gel Pure Charge with Cleansing Microparticles (Russian Package),SALE,600.0,540.0,,250ml,,250.0
38,men,Nivea Men Shower Gel Cool Kick (Germany),SALE,600.0,540.0,,250ml,,250.0
39,men,Studio X Power Brightening Cream,SALE,190.0,114.0,,60gm,60.0,
40,men,Nivea Men Body Deodorizer Ice Cool,SALE,450.0,427.5,,120ml,,120.0
41,men,Nivea Men After Shave Lotion Sensitive,SALE,450.0,427.5,,100ml,,100.0
42,men,Musk Al Haramain Attar,SALE,3000.0,2400.0,,12ml,,12.0
43,men,Kelyn Body Spray Legend Hurricane For Men,SALE,330.0,170.0,165.0,150ml,,150.0
44,men,Kelyn Body Spray Legend Twister For Men,SALE,330.0,125.0,121.0,150ml,,150.0
45,men,Remington G4 Graphite Series Multi Grooming Kit,SALE,5500.0,4950.0,4802.0,,,
46,men,WAHL 11 Piece Rechargeable Multigroomer Kit,SALE,2650.0,2350.0,2280.0,,,
47,men,Alpecin Caffeine Shampoo C1 Shampoo,SALE,750.0,650.0,631.0,75ml,,75.0
