ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,mom-&-baby,Rikang Powder Puff,SALE,450.0,290.0,281.0,,,
1,mom-&-baby,Aveeno Baby Calming Comfort Bedtime Lotion,SALE,1750.0,1250.0,1213.0,200ml,,200.0
2,mom-&-baby,Parachute Just For Baby - Milky Glow Lotion,SALE,215.0,150.0,,100ml,,100.0
3,mom-&-baby,Parachute Just For Baby - Milky Glow Lotion,SALE,360.0,252.0,,200ml,,200.0
4,mom-&-baby,Johnson’s Baby Oil,SALE,1050.0,850.0,825.0,500ml,,500.0
5,mom-&-baby,Aveeno Baby Calming Comfort Bedtime Bath & Wash for Deliocate Skin,SALE,1450.0,1250.0,1213.0,250ml,,250.0
6,mom-&-baby,Embla Baby Moisture Wash And Shampoo,SALE,1450.0,1300.0,1261.0,300ml,,300.0
7,mom-&-baby,ASDA Little Angels Baby Shampoo,SALE,975.0,850.0,825.0,500ml,,500.0
8,mom-&-baby,Aveeno Baby Soothing Relief Emollient Cream,SALE,2450.0,2250.0,2183.0,200ml,,200.0
9,mom-&-baby,L'Oreal Kids Very Berry Strawberry Shampoo,SALE,950.0,650.0,631.0,250ml,,250.0
10,mom-&-baby,Johnson's Baby Hair Oil Enriched with Avacado & Pro Vitamine B5,SALE,312.0,250.0,,100ml,,100.0
11,mom-&-baby,Johnson's Baby Top-to-Toe Bath,SALE,432.0,360.0,,200ml,,200.0
12,mom-&-baby,Johnson's Baby Skincare Cream,SALE,317.0,265.0,,100gm,100.0,
13,mom-&-baby,Johnson's Baby Milk + Rice Bath (Malaysia),SALE,723.0,595.0,,500ml,,500.0
14,mom-&-baby,Himalaya Baby Cream,SALE,225.0,200.0,,100ml,,100.0
15,mom-&-baby,Bioderma ABCDerm Gel Moussant Mild Cleansing Foaming Body Gel,SALE,2450.0,2150.0,,200ml,,200.0
16,mom-&-baby,Dove Baby Shampoo Rich Moisture,SALE,650.0,550.0,534.0,,,
17,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,140.0,112.0,,125gm,125.0,
18,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,90.0,72.0,,75gm,75.0,
19,mom-&-baby,Dove Baby Lotion Sensitive Moisture,SALE,550.0,495.0,480.0,200ml,,200.0
20,mom-&-baby,Aveeno Baby Daily Care Baby Moisturising Lotion,SALE,1000.0,900.0,873.0,150ml,,150.0
21,mom-&-baby,Embla Baby Moisture Wash And Shampoo,SALE,1450.0,1300.0,1261.0,300ml,,300.0
22,mom-&-baby,ASDA Little Angels Baby Shampoo,SALE,975.0,850.0,825.0,500ml,,500.0
23,mom-&-baby,Aveeno Baby Soothing Relief Emollient Cream,SALE,2450.0,2250.0,2183.0,200ml,,200.0
24,mom-&-baby,L'Oreal Kids Very Berry Strawberry Shampoo,SALE,950.0,650.0,631.0,250ml,,250.0
25,mom-&-baby,Johnson's Baby Hair Oil Enriched with Avacado & Pro Vitamine B5,SALE,312.0,250.0,,100ml,,100.0
26,mom-&-baby,Johnson's Baby Top-to-Toe Bath,SALE,432.0,360.0,,200ml,,200.0
27,mom-&-baby,Johnson's Baby Skincare Cream,SALE,317.0,265.0,,100gm,100.0,
28,mom-&-baby,Johnson's Baby Milk + Rice Bath (Malaysia),SALE,723.0,595.0,,500ml,,500.0
29,mom-&-baby,Himalaya Baby Cream,SALE,225.0,200.0,,100ml,,100.0
30,mom-&-baby,Bioderma ABCDerm Gel Moussant Mild Cleansing Foaming Body Gel,SALE,2450.0,2150.0,,200ml,,200.0
31,mom-&-baby,Dove Baby Shampoo Rich Moisture,SALE,650.0,550.0,534.0,,,
32,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,140.0,112.0,,125gm,125.0,
33,mom-&-baby,Baby Soap - Parachute Just for Baby,SALE,90.0,72.0,,75gm,75.0,
34,mom-&-baby,Dove Baby Lotion Sensitive Moisture,SALE,550.0,495.0,480.0,200ml,,200.0
35,mom-&-baby,Aveeno Baby Daily Care Baby Moisturising Lotion,SALE,1000.0,900.0,873.0,150ml,,150.0
36,mom-&-baby,Parachute Just For Baby - Baby wash,SALE,190.0,128.0,,100ml,,100.0
37,mom-&-baby,Parachute Just For Baby - Baby wash,SALE,285.0,219.0,,200ml,,200.0
38,mom-&-baby,Parachute Just For Baby - Baby oil,SALE,210.0,157.0,,100ml,,100.0
39,mom-&-baby,Aveeno Baby Daily Moisture Lotion,SALE,3450.0,2950.0,2862.0,532ml,,532.0
40,mom-&-baby,Parachute Just For Baby - Milky Glow Wash,SALE,215.0,150.0,,100ml,,100.0
