ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,nails,Nirvana Color Nail Enamel - Naughty Hand-07,SALE,180.0,161.0,156.0,8ml,,8.0
1,nails,Nirvana Color Nail Enamel - Mermaid Tail - 26,SALE,180.0,161.0,156.0,8ml,,8.0
2,nails,Nirvana Color Nail Enamel - Flower Mood - 28,SALE,180.0,161.0,156.0,8ml,,8.0
3,nails,Nirvana Color Nail Enamel - Pastel Bloom - 29,SALE,180.0,161.0,156.0,8ml,,8.0
4,nails,Nirvana Color Nail Enamel - Ballet Slippers - 31,SALE,180.0,161.0,156.0,8ml,,8.0
5,nails,Nirvana Color Nail Enamel - Femme Fatale - 36,SALE,180.0,161.0,156.0,8ml,,8.0
6,nails,Nirvana Color Nail Enamel - Spiced Latte - 37,SALE,180.0,161.0,156.0,8ml,,8.0
7,nails,Nirvana Color Nail Enamel - Moonlight Sea-08,SALE,180.0,161.0,156.0,8ml,,8.0
8,nails,Nirvana Color Nail Enamel - Crazy Girl-11,SALE,180.0,161.0,156.0,8ml,,8.0
9,nails,Nirvana Color Nail Enamel - Elegant Look-12,SALE,180.0,161.0,156.0,8ml,,8.0
10,nails,Nirvana Color Nail Enamel - Lemon Crush-13,SALE,180.0,161.0,156.0,8ml,,8.0
11,nails,Nirvana Color Glitter Nail Enamel - Precious Love -19,SALE,180.0,161.0,156.0,8ml,,8.0
12,nails,Nirvana Color Glitter Nail Enamel - Touched Angel -25,SALE,180.0,161.0,153.0,8ml,,8.0
13,nails,Groome 12 pcs stainless steel manicure & pedicure sets,FREE DELIVERY,570.0,508.0,493.0,,,
14,nails,Nirvana Color Nail Enamel - Olive You - 34,SALE,180.0,161.0,156.0,8ml,,8.0
15,nails,Nirvana Color Nail Enamel - Black Swan - 38,SALE,180.0,161.0,156.0,8ml,,8.0
16,nails,Nirvana Color Top Coat (Matte Effect) - Hold Hands-02,SALE,180.0,161.0,156.0,8ml,,8.0
17,nails,Nirvana Color Nail Enamel - I Am Jealous-05,SALE,180.0,161.0,156.0,8ml,,8.0
18,nails,Nirvana Color Nail Enamel - I Am Yours-09,SALE,180.0,161.0,156.0,8ml,,8.0
19,nails,Nirvana Color Nail Enamel - Smile On Me -15,SALE,180.0,161.0,156.0,8ml,,8.0
20,nails,Nirvana Color Nail Enamel - Dreams For You -16,SALE,180.0,161.0,156.0,8ml,,8.0
21,nails,Nirvana Color Nail Enamel - Pink Lemonade - 30,SALE,180.0,161.0,156.0,8ml,,8.0
22,nails,Nirvana Color Nail Enamel - Beautiful Mess - 32,SALE,180.0,161.0,156.0,8ml,,8.0
23,nails,Nirvana Color Nail Enamel - Mint Mojito - 33,SALE,180.0,161.0,156.0,8ml,,8.0
24,nails,Nirvana Color Nail Enamel - Feeling Blue - 35,SALE,180.0,161.0,156.0,8ml,,8.0
25,nails,Nirvana Color Nail Enamel - Moonlight Sea-08,SALE,180.0,161.0,156.0,8ml,,8.0
26,nails,Nirvana Color Nail Enamel - Crazy Girl-11,SALE,180.0,161.0,156.0,8ml,,8.0
27,nails,Nirvana Color Nail Enamel - Elegant Look-12,SALE,180.0,161.0,156.0,8ml,,8.0
28,nails,Nirvana Color Nail Enamel - Lemon Crush-13,SALE,180.0,161.0,156.0,8ml,,8.0
29,nails,Nirvana Color Glitter Nail Enamel - Precious Love -19,SALE,180.0,161.0,156.0,8ml,,8.0
30,nails,Nirvana Color Glitter Nail Enamel - Touched Angel -25,SALE,180.0,161.0,153.0,8ml,,8.0
31,nails,Nirvana Color Nail Enamel - Mermaid Tail - 26,SALE,180.0,161.0,156.0,8ml,,8.0
32,nails,Nirvana Color Nail Enamel - Flower Mood - 28,SALE,180.0,161.0,156.0,8ml,,8.0
33,nails,Nirvana Color Nail Enamel - Pastel Bloom - 29,SALE,180.0,161.0,156.0,8ml,,8.0
34,nails,Nirvana Color Nail Enamel - Ballet Slippers - 31,SALE,180.0,161.0,156.0,8ml,,8.0
35,nails,Nirvana Color Nail Enamel - Femme Fatale - 36,SALE,180.0,161.0,156.0,8ml,,8.0
36,nails,Nirvana Color Nail Enamel - Spiced Latte - 37,SALE,180.0,161.0,156.0,8ml,,8.0
37,nails,Groome 12 pcs stainless steel manicure & pedicure sets,FREE DELIVERY,570.0,508.0,493.0,,,
38,nails,W7 Brush-On Nail Glue,SALE,375.0,330.0,320.0,7gm,7.0,
39,nails,Pretty Cosmetic Pads-80 Pcs,SALE,280.0,225.0,218.0,,,
40,nails,Meril Nourishing Nail Polish Remover 40.0 ml,nan,,40.0,,40ml,,40.0
41,nails,Topface Lasting Color Nail Enamel 17,nan,,250.0,243.0,9ml,,9.0
42,nails,Pastel Nail Polish 37,nan,,225.0,218.0,13ml,,13.0
43,nails,Pastel Nail Polish 289,nan,,225.0,218.0,13ml,,13.0
44,nails,Pastel Nail Polish 237,nan,,225.0,218.0,13ml,,13.0
45,nails,Pastel Nail Polish 27,nan,,225.0,218.0,13ml,,13.0
46,nails,Pastel Nail Polish 07,nan,,225.0,218.0,13ml,,13.0
47,nails,Pastel Nail Polish 242,nan,,225.0,218.0,13ml,,13.0
48,nails,Parlour Cuticle Nipper-Rose Gold,nan,,300.0,291.0,,,
49,nails,Parlour Manicure & Pedicure Set 19 Pieces,nan,,835.0,810.0,,,
50,nails,Astra My Laque Ultra Glossy Nail Polish N 15 Pink flower,nan,,350.0,340.0,12ml,,12.0
