ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,natural,Skin Cafe Hair Care BOGO Offer 2 ( Skin Cafe Biotin Shampoo with Onion Extract + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY,,425.0,,,,
1,natural,Skin Cafe Hair Care BOGO Offer 1 ( Skin Cafe Banana Shampoo with Egg Protein + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY,,425.0,,,,
2,natural,Rajkonna Glow Booster Facial Wash With Jojoba Beads,FREE DELIVERY,185.0,165.0,157.0,100ml,,100.0
3,natural,Rajkonna Acne Fighting Facial Wash With Jojoba Beads,FREE DELIVERY,185.0,165.0,160.0,100ml,,100.0
4,natural,Skin Cafe 100% Natural Rose Water Face And Body Mist,FREE DELIVERY,320.0,281.6,268.0,120ml,,120.0
5,natural,Nivea Face Wash Milk Delights Precious Saffron (Normal Skin),SALE,400.0,360.0,,100ml,,100.0
6,natural,Lilac Advanced Brightening Moisturizer- All Skin Types,FREE DELIVERY,850.0,757.0,734.0,50gm,50.0,
7,natural,Nivea Face Wash Milk Delights Caring Rosewater (Sensitive Skin),SALE,400.0,256.0,,100ml,,100.0
8,natural,Skin Cafe Brightening Mask,FREE DELIVERY,240.0,211.2,205.0,70gm,70.0,
9,natural,LILAC Brightening Face Wash Oily And Combination Skin,FREE DELIVERY,650.0,579.0,562.0,120ml,,120.0
10,natural,Lilac Advanced Brightening Face Wash Dry And Sensitive Skin,FREE DELIVERY,650.0,579.0,550.0,120ml,,120.0
11,natural,RAJKONNA HAIR REPAIR Mask,FREE DELIVERY,240.0,214.0,203.0,70gm,70.0,
12,natural,Kolombo Coconut  Oil,SALE,85.0,63.0,,100ml,,100.0
13,natural,Kumarika Split Hair Oil,SALE,200.0,149.0,,200ml,,200.0
14,natural,Kumarika Dandruff control Hair Oil,SALE,200.0,149.0,,200ml,,200.0
15,natural,Maya True Herbs 100% Cold-Pressed Virgin & Organic Marula Oil from Africa,SALE,850.0,765.0,,30ml,,30.0
16,natural,Kumarika Hair Fall Control Hair Oil 200ml,SALE,200.0,149.0,,200ml,,200.0
17,natural,Kolombo Coconut  Oil,SALE,155.0,116.0,,200ml,,200.0
18,natural,Natures Response Energising Blend  Essential Oil,nan,,515.0,,10ml,,10.0
19,natural,Dabur Amla Hair Oil (Get 50 ml Extra),nan,,360.0,,400ml,,400.0
20,natural,Dabur Amla Hair Oil,nan,,90.0,,100ml,,100.0
21,natural,Dabur Amla Hair Oil (Get 50 ml Extra),nan,,360.0,,400ml,,400.0
22,natural,Dabur Amla Hair Oil,nan,,90.0,,100ml,,100.0
23,natural,Dabur Amla Hair Oil,nan,,35.0,,40ml,,40.0
24,natural,HB Factory Red Ginseng Cleansing Foam,nan,,850.0,825.0,80ml,,80.0
25,natural,Maya All Natural Hair & Scalp Oil,SALE,210.0,189.0,,100ml,,100.0
26,natural,Buy 1 Dabur Gold Beliphool Non-Sticky Coconut Hair Oil & Get 1 Lux Soap 75 gm,BUY 1 GET 1,,145.0,,,,
27,natural,Himalaya Purifying Neem Face Wash,SALE,250.0,210.0,,150ml,,150.0
28,natural,Himalaya Natural Glow Saffron Face Cream,nan,,145.0,,50gm,50.0,
29,natural,NEUTROGENA Refreshingly Clear Facial Wash,nan,,950.0,922.0,200ml,,200.0
30,natural,Simple Kind to Skin Hydrating Light Moisturiser,SALE,650.0,599.0,,125ml,,125.0
31,natural,Clean & Clear Foaming Face Wash,SALE,280.0,255.0,,100ml,,100.0
32,natural,LILAC NIACINAMIDE SERUM 5%,FREE DELIVERY,750.0,668.0,648.0,30ml,,30.0
33,natural,Skin Cafe Detox Healing Clay Mask,FREE DELIVERY,240.0,211.2,205.0,70gm,70.0,
34,natural,Lux Body Wash Black Orchid Scent & Juniper Oil 245ml,SALE,200.0,149.0,,245ml,,245.0
35,natural,Lux Body Wash Freesia Scent & Aloe Vera 245ml,SALE,200.0,149.0,,245ml,,245.0
36,natural,Garnier Skin Active Micellar Cleansing Water,SALE,550.0,449.0,,100ml,,100.0
37,natural,Rajkonna Light Moisturizer With Rice Water And Licorice Extract,FREE DELIVERY,295.0,263.0,255.0,50gm,50.0,
38,natural,Beauty Formulas Tea Tree Deep Cleansing Nose Pore Strip,SALE,60.0,29.0,28.0,,,
39,natural,Simple Kind to Skin Replenishing Rich Moisturizer,SALE,650.0,499.0,,125ml,,125.0
40,natural,Groome Black Head Remover Charcoal Nose strips(Monthly Pack) 6 pcs,SALE,175.0,152.0,147.0,,,
41,natural,Pond’s Super Light Gel Moisturiser 98g,SALE,420.0,399.0,,98ml,,98.0
42,natural,RIBANA Coconut Oil,SALE,400.0,370.0,359.0,200ml,,200.0
43,natural,Rajkonna Multani Mati,FREE DELIVERY,120.0,107.0,104.0,80gm,80.0,
44,natural,Hawaa Hair Fall Avenger Oil,SALE,220.0,195.0,189.0,100ml,,100.0
45,natural,Skin Cafe 100% Natural Essential Oil - Rosemary,FREE DELIVERY,400.0,352.0,334.0,10ml,,10.0
46,natural,Rajkonna White Glow Shower Gel,FREE DELIVERY,330.0,294.0,285.0,330ml,,330.0
47,natural,Rajkonna All Purpose Toner,FREE DELIVERY,240.0,214.0,203.0,120ml,,120.0
48,natural,Simple Kind To Skin Soothing Facial Toner,SALE,650.0,499.0,484.0,200ml,,200.0
49,natural,Organikare Coffee Scrub,SALE,250.0,230.0,,100ml,,100.0
50,natural,Lavino Milk Brightening Face Wash,SALE,220.0,196.0,190.0,100ml,,100.0
51,natural,Wow Brightening Vitamin C Face Wash,SALE,549.0,411.0,,100ml,,100.0
52,natural,Cosrx Acne Pimple Master Patch,SALE,555.0,375.0,356.0,,,
53,natural,Pond's Light Moisturiser Non-Oily Fresh Feel,SALE,180.0,120.0,,25ml,,25.0
54,natural,Rajkonna glowing face ubtan,FREE DELIVERY,220.0,196.0,190.0,50gm,50.0,
55,natural,Skin Cafe Hydrating Hyaluronic Acid Face Wash with Seaweed Extract,FREE DELIVERY,395.0,347.6,337.0,140ml,,140.0
