ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,offers,Skin Cafe Hair Care BOGO Offer 2 ( Skin Cafe Biotin Shampoo with Onion Extract + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY,,425.0,,,,
1,offers,Skin Cafe Hair Care BOGO Offer 1 ( Skin Cafe Banana Shampoo with Egg Protein + Skin Cafe Silky Tresses Moisturizing Conditioner ),FREE DELIVERY,,425.0,,,,
2,offers,Valene Moon n Back Wireless T-Shirt Bra Combo,COMBO,1750.0,1399.0,,,,
3,offers,Buy 1 Dabur Gold Beliphool Non-Sticky Coconut Hair Oil & Get 1 Lux Soap 75 gm,BUY 1 GET 1,,145.0,,,,
4,offers,Simple Kind To Skin Refreshing Facial Wash Gel,SALE,580.0,499.0,,150ml,,150.0
5,offers,Pond’s Super Light Gel with Hyaluronic Acid + Vitamin E,SALE,180.0,120.0,,25ml,,25.0
6,offers,Garnier Skin Active Micellar Cleansing Water,SALE,550.0,449.0,,100ml,,100.0
7,offers,Livon Serum Hair Essentials Vitamin E,SALE,125.0,87.0,,18ml,,18.0
8,offers,Simple Kind To Skin Soothing Facial Toner,SALE,650.0,499.0,484.0,200ml,,200.0
9,offers,W7 Liquid Eyeliner Pot,SALE,300.0,249.0,237.0,8gm,8.0,
10,offers,Groome Beauty Blender Sponge (Yellow),SALE,180.0,157.0,149.0,,,
11,offers,FOGG perfumed ROLL ON - Bold FOR WOMEN,SALE,199.0,142.0,,50ml,,50.0
12,offers,Couple Combo (Face Wash) - Studio X Brightening Facewash for Men 100ml & Parachute SkinPure Goat Milk Brightening Facewash (Glow) 100gm,COMBO,410.0,314.0,,,,
13,offers,Couple Combo (Face Wash) - Studio X Oil Clear Facewash for Men 100ml & Parachute SkinPure Aloe Vera Brightening Facewash (Oil Control) 100gm,COMBO,410.0,320.0,,,,
14,offers,Parachute Hair Oil Anti Hairfall Oil Extra Care 300ml (Root Applier) Pack of 2 (300ml X 2),COMBO,590.0,540.0,,,,
15,offers,Parachute Anti Hairfall Oil Extra Care 150ml & Parachute Naturale Shampoo Advanced Hair Fall Control 175ml Combo,COMBO,400.0,358.0,,,,
16,offers,ANTI HAIR-FALL BUNDLE - Parachute Anti Hairfall Oil Extra Care 300ml (Root Applier) & Parachute Naturale Shampoo Hijab Fresh 340ml,COMBO,625.0,503.0,,,,
17,offers,Kesh King Hair Fall Defense Combo,COMBO,770.0,590.0,,,,
18,offers,Buy One Livon Hair Serum 100Ml Get One Orange Facewash - Anti Pimple - 50Gm  Free,BUY 1 GET 1,475.0,430.0,,,,
19,offers,Buy One Parachute Naturale Shampoo Damage Repair 340Ml Get One Aloe Vera Facewash - Oil Control - 50Gm Free,BUY 1 GET 1,370.0,305.0,,,,
