ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,personal-care,Lilac 3X Spot Lightener,FREE DELIVERY,350.0,312.0,303.0,50gm,50.0,
1,personal-care,Rajkonna Glow Booster Facial Wash With Jojoba Beads,FREE DELIVERY,185.0,165.0,157.0,100ml,,100.0
2,personal-care,Rajkonna Acne Fighting Facial Wash With Jojoba Beads,FREE DELIVERY,185.0,165.0,160.0,100ml,,100.0
3,personal-care,Nivea Face Wash Milk Delights Precious Saffron (Normal Skin),SALE,400.0,360.0,,100ml,,100.0
4,personal-care,Skin Cafe Pure & Natural Aloe Vera gel 98%,FREE DELIVERY,500.0,440.0,427.0,240ml,,240.0
5,personal-care,Skin Cafe Sunscreen SPF 50 PA+++  Lightweight & Non-Greasy,FREE DELIVERY,600.0,528.0,512.0,60gm,60.0,
6,personal-care,Lilac Advanced Brightening Moisturizer- All Skin Types,FREE DELIVERY,850.0,757.0,734.0,50gm,50.0,
7,personal-care,Nivea Face Wash Milk Delights Caring Rosewater (Sensitive Skin),SALE,400.0,256.0,,100ml,,100.0
8,personal-care,LILAC Brightening Face Wash Oily And Combination Skin,FREE DELIVERY,650.0,579.0,562.0,120ml,,120.0
9,personal-care,Lilac Advanced Brightening Face Wash Dry And Sensitive Skin,FREE DELIVERY,650.0,579.0,550.0,120ml,,120.0
10,personal-care,Natures Response Energising Blend  Essential Oil,nan,,515.0,,10ml,,10.0
11,personal-care,HB Factory Red Ginseng Cleansing Foam,nan,,850.0,825.0,80ml,,80.0
12,personal-care,Buy 1 Dabur Gold Beliphool Non-Sticky Coconut Hair Oil & Get 1 Lux Soap 75 gm,BUY 1 GET 1,,145.0,,,,
13,personal-care,Himalaya Purifying Neem Face Wash,SALE,250.0,210.0,,150ml,,150.0
14,personal-care,Himalaya Natural Glow Saffron Face Cream,nan,,145.0,,50gm,50.0,
15,personal-care,Vaseline Lotion Aloe Fresh 200ml,nan,,280.0,,200ml,,200.0
16,personal-care,Freedom Super Dry Regular Flow Popular,nan,,30.0,,,,
17,personal-care,NEUTROGENA Refreshingly Clear Facial Wash,nan,,950.0,922.0,200ml,,200.0
18,personal-care,Nivea Soft Jar Moisturising Cream,SALE,225.0,159.0,,50ml,,50.0
19,personal-care,Simple Kind to Skin Hydrating Light Moisturiser,SALE,650.0,599.0,,125ml,,125.0
20,personal-care,"Aveeno Positively Smooth Shave Gel With Soy,Aloe & Vitamin E",SALE,1650.0,1450.0,1407.0,198gm,198.0,
21,personal-care,Clean & Clear Foaming Face Wash,SALE,280.0,255.0,,100ml,,100.0
22,personal-care,Cosrx Salicylic Acid Daily Gentle Cleanser,SALE,1400.0,995.0,,150ml,,150.0
23,personal-care,Lux Body Wash Black Orchid Scent & Juniper Oil 245ml,SALE,200.0,149.0,,245ml,,245.0
24,personal-care,Lux Body Wash Freesia Scent & Aloe Vera 245ml,SALE,200.0,149.0,,245ml,,245.0
25,personal-care,Missha All Around Safe Block Soft Finish Sun Milk SPF50+ Or PA+++,FREE DELIVERY,1650.0,1299.0,,70ml,,70.0
26,personal-care,Simple Kind To Skin Refreshing Facial Wash Gel,SALE,580.0,499.0,,150ml,,150.0
27,personal-care,3W Clinic Intensive UV Sunblock Cream SPF 50+PA+++,SALE,850.0,525.0,,70ml,,70.0
28,personal-care,Pond’s Super Light Gel with Hyaluronic Acid + Vitamin E,SALE,180.0,120.0,,25ml,,25.0
29,personal-care,Rajkonna Light Moisturizer With Rice Water And Licorice Extract,FREE DELIVERY,295.0,263.0,255.0,50gm,50.0,
30,personal-care,Rajkonna Brightening Body Lotion Super Radiant,FREE DELIVERY,425.0,320.0,,300ml,,300.0
31,personal-care,Simple Kind to Skin Replenishing Rich Moisturizer,SALE,650.0,499.0,,125ml,,125.0
32,personal-care,Pond’s Super Light Gel Moisturiser 98g,SALE,420.0,399.0,,98ml,,98.0
33,personal-care,Nivea Roll On Fresh Natural (Thailand),SALE,260.0,179.0,,50ml,,50.0
34,personal-care,Christian Dean Secret Tone Up Sun Cream,SALE,850.0,499.0,,70ml,,70.0
35,personal-care,Neutrogena Hydro Boost Water Gel,SALE,1650.0,1199.0,,50ml,,50.0
36,personal-care,Groome Personal Care Cotton Pad - 80pcs,FREE DELIVERY,245.0,213.0,207.0,,,
37,personal-care,Rajkonna White Glow Shower Gel,FREE DELIVERY,330.0,294.0,285.0,330ml,,330.0
38,personal-care,Missha All Around Safe Block Aqua Sun Gel SPF50+/PA++++,SALE,1650.0,1000.0,,50ml,,50.0
39,personal-care,Pond's Light Moisturiser Non-Oily Fresh Feel,SALE,180.0,120.0,,25ml,,25.0
40,personal-care,Lavino Milk Brightening Face Wash,SALE,220.0,196.0,190.0,100ml,,100.0
41,personal-care,Wow Brightening Vitamin C Face Wash,SALE,549.0,411.0,,100ml,,100.0
42,personal-care,Kaveri Mehedi Cone Rich Color - 1 Cone,SALE,50.0,26.0,,25gm,25.0,
43,personal-care,Rajkonna Sunscreen SPF 40 PA+++,FREE DELIVERY,495.0,421.0,,60gm,60.0,
44,personal-care,Skin Cafe Hydrating Hyaluronic Acid Face Wash with Seaweed Extract,FREE DELIVERY,395.0,347.6,337.0,140ml,,140.0
45,personal-care,Neutrogena Oil Free Acne Wash Facial Cleanser,SALE,1050.0,949.0,,175ml,,175.0
46,personal-care,Groome Eyebrow and Facial Razor (Pack of 2pcs),FREE DELIVERY,240.0,209.0,199.0,,,
47,personal-care,Lavino Neem Purifying Face Wash With 0.5% Salicylic Acid,SALE,220.0,196.0,186.0,100ml,,100.0
48,personal-care,Neutrogena Ultra Sheer Dry-Touch Sunblock SPF50+,SALE,1450.0,1150.0,,88ml,,88.0
