ID,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight,weight_gm,weight_ml
0,top-brands,Revlon Colorsilk Beautiful Permanent Hair color 49 Auburn Brown,SALE,650.0,550.0,,,,
1,top-brands,Garnier Micellar Water with Vitamin C,SALE,650.0,545.0,529.0,125ml,,125.0
2,top-brands,Revlon Color Silk Beautiful Color Dark Golden Brown 37,SALE,650.0,550.0,,59.1ml,,59.1
3,top-brands,The Body Shop Born Lippy Pot Lip Balm - Watermelon,SALE,550.0,450.0,437.0,8.9gm,8.9,
4,top-brands,Revlon Colorsilk Hair Color Black 10,SALE,650.0,550.0,,59.1ml,,59.1
5,top-brands,Revlon Colorsilk Hair Color Lightest Golden Brown 57,SALE,650.0,550.0,,59.1ml,,59.1
6,top-brands,L'Oreal White Perfect Deep-Cleansing & Brightening With Rice Care,SALE,950.0,799.0,775.0,100ml,,100.0
7,top-brands,Revlon ColorSilk Beautiful Colo 55 Light Reddish Brown,SALE,650.0,550.0,,,,
8,top-brands,"Revlon ColorSilk Beautiful Color, 48 Burgundy",SALE,650.0,550.0,,,,
9,top-brands,"Revlon Colorsilk Hair Color,43 Medium Golden Brown",SALE,650.0,550.0,,,,
10,top-brands,Revlon Color Silk Beautiful Color Dark Soft Brown 33,SALE,650.0,515.0,,59.1ml,,59.1
11,top-brands,Revlon ColorSilk Beautiful 3D Hair Color - 20 Negro Natural (Brown Black),SALE,650.0,550.0,,140ml,,140.0
12,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Natural Buff 230,SALE,1250.0,870.0,844.0,30ml,,30.0
13,top-brands,Maybelline Fit Me Concealer 25 Medium,SALE,1250.0,950.0,922.0,6.8ml,,6.8
14,top-brands,Revlon Colorsilk Hair Color Deep Burgundy 34,SALE,650.0,550.0,,59.1ml,,59.1
15,top-brands,Revlon Colorsilk Beautiful Color 30 Dark Brown,SALE,650.0,515.0,,,,
16,top-brands,Revlon Color Silk Hair Color Ultra Light Natural Blonde 04,SALE,650.0,550.0,,59.1ml,,59.1
17,top-brands,Revlon Colorsilk Hair Color Warm Glden Blonde 75,SALE,650.0,550.0,,59.1ml,,59.1
18,top-brands,Revlon Colorsilk Hair Color Medium Ash Brown 40,SALE,650.0,550.0,,59.1ml,,59.1
19,top-brands,Maybelline Fit Me Concealer 15 Fair,SALE,1250.0,950.0,922.0,6.8ml,,6.8
20,top-brands,Maybelline Baby Skin Instant Pore Eraser (UK),SALE,1000.0,750.0,728.0,22ml,,22.0
21,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Rich Tan 238,SALE,1250.0,870.0,844.0,30ml,,30.0
22,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Warm Nude 128,SALE,1250.0,999.0,969.0,30ml,,30.0
23,top-brands,Revlon Colorsilk Hair Color Medium Brown,nan,,525.0,,,,
24,top-brands,Revlon Super Lustrous Matte Lipstick Glaring Red,nan,,900.0,,4.2gm,4.2,
25,top-brands,Revlon Ultra HD Matte Lip Color 605 Obsession,nan,,1625.0,,5.9ml,,5.9
26,top-brands,Maybelline New York Dream Brightening Creamy Concealer Light 20,nan,,1050.0,1019.0,3gm,3.0,
27,top-brands,Revlon Ultra Hd Matte Lip Color Devotion,nan,,1950.0,,5.9gm,5.9,
28,top-brands,Revlon Eye & Lip Makeup Remover,nan,,450.0,,60ml,,60.0
29,top-brands,Revlon Super Lustrous Lipstick - Love That Red,nan,,900.0,,4.2gm,4.2,
30,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Nude Beige 125,nan,,1250.0,1213.0,30ml,,30.0
31,top-brands,Revlon Super Lustrous Matte Lipstick Seductive Sienna,nan,,900.0,,4.2gm,4.2,
32,top-brands,Revlon Super Lustrous Matte Lipstick Retro Red,nan,,900.0,,4.2gm,4.2,
33,top-brands,Revlon Colorsilk Hair Color Deep Rich Brown 2WB,nan,,525.0,,,,
34,top-brands,Revlon Super Lustrous Matte Lipstick Peachy Vibes,nan,,900.0,,4.2gm,4.2,
35,top-brands,Revlon Super Lustrous Matte Lipstick Showy Red,nan,,900.0,,4.2gm,4.2,
36,top-brands,Revlon Super Lustrous Matte Lipstick Striking Coral,nan,,900.0,,4.2gm,4.2,
37,top-brands,Revlon Ultra HD Matte Lip Color 640 Embrace,nan,,1625.0,,5.9ml,,5.9
38,top-brands,Revlon Nail Enamel Knotty Berry,nan,,360.0,,8ml,,8.0
39,top-brands,Revlon Nail Enamel Revlon Red,nan,,360.0,,8ml,,8.0
40,top-brands,Rimmel Scandaleyes Waterproof Kohl Kajal- 005 Nude,nan,,650.0,,1.3gm,1.3,
41,top-brands,Revlon Ultra Hd Matte Lip Color Romance,nan,,1625.0,,5.9gm,5.9,
42,top-brands,Revlon Nearly Naked Pressed Powder Fair,nan,,1250.0,,8gm,8.0,
43,top-brands,Revlon Nail Enamel Red Shine,nan,,360.0,,8ml,,8.0
44,top-brands,Revlon Nail Enamel Matte Top Coat,nan,,360.0,,8ml,,8.0
45,top-brands,Revlon Nail Enamel Cherry Berry,nan,,360.0,,8ml,,8.0
46,top-brands,Revlon Nail Enamel Red Spark,nan,,360.0,,8ml,,8.0
47,top-brands,Rimmel Scandaleyes Waterproof Kohl Kajal- 001 Black,nan,,650.0,631.0,1.3gm,1.3,
