,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,tools-&-brushes,Groome Make Up Brush set ( Bamboo),FREE DELIVERY,৳ 480.00,৳ 418.00,App Price: ৳ 397.00,150gm
1,tools-&-brushes,Groome makeup cleansing sponge- Pink,SALE,৳ 480.00,৳ 418.00,App Price: ৳ 127.00,
2,tools-&-brushes,Groome Beauty Blender Sponge (Yellow),SALE,৳ 480.00,৳ 418.00,App Price: ৳ 149.00,
3,tools-&-brushes,Groome Professional Rose Gold 10Pcs Makeup Brush Set with Bag,FREE DELIVERY,৳ 480.00,৳ 418.00,App Price: ৳ 907.00,
4,tools-&-brushes,Groome makeup cleansing sponge- Snow White,SALE,৳ 480.00,৳ 418.00,App Price: ৳ 127.00,
5,tools-&-brushes,Ilana Makeup spatula,SALE,৳ 480.00,৳ 418.00, ,
6,tools-&-brushes,Groome Makeup Blender Sponge - Pink,SALE,৳ 480.00,৳ 418.00,App Price: ৳ 152.00,
7,tools-&-brushes,Groome makeup cleansing sponge-Brown,SALE,৳ 480.00,৳ 418.00,App Price: ৳ 127.00,
8,tools-&-brushes,Ilana Tweezer,SALE,৳ 480.00,৳ 418.00, ,
9,tools-&-brushes,Bronx Colors Deluxe Brush Shading Brush - BR04,SALE,৳ 480.00,৳ 418.00, ,
10,tools-&-brushes,Lady Butterfly face mask applying bamboo brush - white bristle,,৳ 480.00,৳ 418.00,App Price: ৳ 76.00,
11,tools-&-brushes,Focallure Professional Fluffy White Double Head Makeup Brush (Single),,৳ 480.00,৳ 418.00,App Price: ৳ 194.00,
12,tools-&-brushes,Parlour Tear Drop Beauty Blender Dark Pink,,৳ 480.00,৳ 418.00,App Price: ৳ 128.00,23gm
13,tools-&-brushes,Parlour Flat End Beauty Blender Dark Pink,,৳ 480.00,৳ 418.00,App Price: ৳ 131.00,23gm
14,tools-&-brushes,Parlour Make Up Sponge,,৳ 480.00,৳ 418.00,App Price: ৳ 116.00,10gm
15,tools-&-brushes,Finorio Plush Powder Makeup Brush - Random Color,,৳ 480.00,৳ 418.00,App Price: ৳ 243.00,
16,tools-&-brushes,Parlour Make Up Sponge White,,৳ 480.00,৳ 418.00,App Price: ৳ 116.00,
17,tools-&-brushes,Lady butterfly 2 in 1 super plain mirror with colorful glittery print - Square Shaped Random Color,,৳ 480.00,৳ 418.00,App Price: ৳ 243.00,100gm
18,tools-&-brushes,Astra Powder Brush,,৳ 480.00,৳ 418.00,App Price: ৳ 1164.00,
19,tools-&-brushes,Astra Eyelid Brush,,৳ 480.00,৳ 418.00,App Price: ৳ 582.00,
20,tools-&-brushes,Parlour Mushroom Beauty Blender Beige,,৳ 480.00,৳ 418.00,App Price: ৳ 146.00,
