,category,product_title,product_ribbon,product_prev_price,product_curr_price,product_app_price,product_weight
0,top-brands,L'Oreal White Perfect Deep-Cleansing & Brightening With Rice Care,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 775.00,100ml
1,top-brands,Revlon ColorSilk Beautiful Colo 55 Light Reddish Brown,SALE,৳ 950.00,৳ 799.00, ,
2,top-brands,"Revlon ColorSilk Beautiful Color, 48 Burgundy",SALE,৳ 950.00,৳ 799.00, ,
3,top-brands,"Revlon Colorsilk Hair Color,43 Medium Golden Brown",SALE,৳ 950.00,৳ 799.00, ,
4,top-brands,Revlon Color Silk Beautiful Color Dark Soft Brown 33,SALE,৳ 950.00,৳ 799.00, ,59.1ml
5,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Ivory 115,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 922.00,30ml
6,top-brands,Revlon ColorSilk Beautiful 3D Hair Color - 20 Negro Natural (Brown Black),SALE,৳ 950.00,৳ 799.00, ,140ml
7,top-brands,Maybelline Fit Me Concealer 25 Medium,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 922.00,6.8ml
8,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Natural Buff 230,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 844.00,30ml
9,top-brands,Revlon Color Silk Beautiful Color Dark Golden Brown 37,SALE,৳ 950.00,৳ 799.00, ,59.1ml
10,top-brands,Garnier Micellar Water with Vitamin C,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 529.00,125ml
11,top-brands,Revlon Colorsilk Beautiful Permanent Hair color 49 Auburn Brown,SALE,৳ 950.00,৳ 799.00, ,
12,top-brands,Revlon Colorsilk Hair Color Lightest Golden Brown 57,SALE,৳ 950.00,৳ 799.00, ,59.1ml
13,top-brands,Revlon Colorsilk Hair Color Black 10,SALE,৳ 950.00,৳ 799.00, ,59.1ml
14,top-brands,The Body Shop Born Lippy Pot Lip Balm - Watermelon,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 437.00,8.9gm
15,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Warm Nude 128,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 969.00,30ml
16,top-brands,Maybelline Fit Me Matte + Poreless Foundation- Rich Tan 238,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 844.00,30ml
17,top-brands,Maybelline Baby Skin Instant Pore Eraser (UK),SALE,৳ 950.00,৳ 799.00,App Price: ৳ 728.00,22ml
18,top-brands,Maybelline Fit Me Concealer 15 Fair,SALE,৳ 950.00,৳ 799.00,App Price: ৳ 922.00,6.8ml
19,top-brands,Revlon Colorsilk Beautiful Color 30 Dark Brown,SALE,৳ 950.00,৳ 799.00, ,
20,top-brands,Revlon Colorsilk Hair Color Deep Burgundy 34,SALE,৳ 950.00,৳ 799.00, ,59.1ml
